url,status,first_seen,last_seen,last_price,last_price_date,sold_date,year,make,model,variant,body_type,odometer,transmission,rego,fuel_type,location
car/14662688/toyota/landcruiser-prado/vic/preston/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,17990.0,2026-01-25T15:33:31,,2009,Toyota,Landcruiser Prado,Gxl (4X4),Wagon,372005,Automatic,2026-03-12,Diesel,VIC
car/14607530/toyota/estima/vic/west-footscray/people-mover,active,2026-01-25T15:33:31,2026-02-27T23:28:58,9999.0,2026-01-25T15:33:31,,2002,Toyota,Estima,Aeras,Wagon,212012,,,,VIC
car/14604085/toyota/kluger/vic/maidstone/suv,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,20489.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2014,Toyota,Kluger,Grande (4X4),Wagon,225737.0,Automatic,,Unleaded,VIC
car/14728393/toyota/corolla/vic/braybrook/hatchback,active,2026-01-25T15:33:31,2026-02-27T23:28:58,10999.0,2026-01-25T15:33:31,,2014,Toyota,Corolla,Ascent Sport,Hatchback,222553,Manual,2025-12-26,Unleaded,VIC
car/14552416/toyota/crown/vic/maidstone/limousine,sold,2026-01-25T15:33:31,2026-01-30T17:02:17,18995.0,2026-01-25T15:33:31,2026-02-12T06:04:59,2014,Toyota,Crown,ROYAL SALOON,Sedan,71339.0,Automatic,,Unleaded,VIC
car/14822820/toyota/yaris/vic/preston/hatchback,sold,2026-01-25T15:33:31,2026-02-12T21:45:20,5990.0,2026-01-25T15:33:31,2026-02-15T04:41:58,2008,Toyota,Yaris,Yr,Hatchback,182418.0,Automatic,2026-03-15,Unleaded,VIC
car/14756688/toyota/probox/vic/maidstone/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,15995.0,2026-01-25T15:33:31,,2020,Toyota,Probox,DX COMFORT,SUV,90876,Automatic,,Hybrid,VIC
car/14161621/toyota/tarago/vic/west-footscray/people-mover,active,2026-01-25T15:33:31,2026-02-27T23:28:58,10999.0,2026-01-25T15:33:31,,2006,Toyota,Tarago,Ultima,Wagon,232613,Automatic,,Unleaded,VIC
car/14755804/toyota/crown/vic/st-kilda/limousine,sold,2026-01-25T15:33:31,2026-01-25T18:47:02,13800.0,2026-01-25T15:33:31,2026-01-28T04:26:19,2008,Toyota,Crown,,Sedan,139900.0,Automatic,,Unleaded,VIC
car/14642585/toyota/alphard/vic/maidstone/van,sold,2026-01-25T15:33:31,2026-01-28T04:26:19,44995.0,2026-01-25T15:33:31,2026-01-30T01:30:27,2021,Toyota,Alphard,X,Commercial,142952.0,Automatic,,Unleaded,VIC
car/14728415/toyota/yaris/vic/braybrook/hatchback,active,2026-01-25T15:33:31,2026-02-27T23:28:58,8288.0,2026-02-20T22:06:45,,2011,Toyota,Yaris,Yr,Hatchback,234873,Automatic,2026-03-15,Unleaded,VIC
car/14498585/toyota/noah/vic/maidstone/van,sold,2026-01-25T15:33:31,2026-02-24T21:06:29,20500.0,2026-02-24T21:06:29,2026-02-25T22:27:40,2015,Toyota,Noah,HYBRID X DELIGHT PLUS,Commercial,102445.0,Automatic,2026-05-12,Hybrid,VIC
car/13448850/toyota/landcruiser/vic/west-footscray/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,37500.0,2026-01-25T15:33:31,,2016,Toyota,Landcruiser,Gxl (4X4),Wagon,241186,Automatic,,Diesel,VIC
car/14755796/toyota/crown/vic/st-kilda/sedan,active,2026-01-25T15:33:31,2026-02-27T23:28:58,16800.0,2026-01-25T15:33:31,,2010,Toyota,Crown,Majesta (Hybrid),Sedan,64990,,,,VIC
car/14620485/toyota/rav4/vic/west-footscray/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,19999.0,2026-01-25T15:33:31,,2017,Toyota,RAV4,Gxl (2Wd),Wagon,193368,Automatic,,Unleaded,VIC
car/14828394/toyota/camry/vic/laverton-north/sedan,active,2026-01-25T15:33:31,2026-02-27T23:28:58,24999.0,2026-02-24T21:06:29,,2020,Toyota,Camry,Ascent,Sedan,62905,Automatic,,Unleaded,VIC
car/14860290/toyota/gr-yaris/vic/deer-park/hatchback,sold,2026-01-25T15:33:31,2026-02-27T01:56:26,45880.0,2026-02-24T21:06:29,2026-02-27T23:28:58,2022,Toyota,GR Yaris,Gr,Hatchback,30481.0,Manual,2026-02-28,Premium,VIC
car/14822698/toyota/yaris-cross/vic/essendon-fields/suv,sold,2026-01-25T15:33:31,2026-01-30T01:30:27,37990.0,2026-01-25T15:33:31,2026-01-30T17:02:17,2023,Toyota,Yaris Cross,Urban Hybrid,Wagon,19921.0,Automatic,2026-03-07,Hybrid,VIC
car/14881856/toyota/fortuner/vic/camberwell/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,46990.0,2026-01-25T15:33:31,,2021,Toyota,Fortuner,Gx,Wagon,87960,Automatic,,Diesel,VIC
car/14842854/toyota/camry/vic/laverton-north/sedan,sold,2026-01-25T15:33:31,2026-01-25T18:47:02,31295.0,2026-01-25T15:33:31,2026-01-28T04:26:19,2021,Toyota,Camry,Ascent Hybrid,Sedan,46579.0,Automatic,,Hybrid,VIC
