year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2015,Mitsubishi,Triton,Glx-R (4X4),Double Cab Utility,183000,Automatic,2026-09-02,15990,Diesel,VIC,car/14923411/mitsubishi/triton/vic/williamstown-north/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2004,Toyota,RAV4,Cv (4X4),Wagon,215027,Automatic,2026-09-12,7000,Unleaded,VIC,car/14928971/toyota/rav4/vic/maidstone/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Jaguar,XF,25T R-Sport,Sedan,78529,Automatic,,27888,Premium,VIC,car/14942827/jaguar/xf/vic/port-melbourne/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2009,Jeep,Cherokee,Limited (4X4),Wagon,162000,Automatic,2026-03-14,6990,Unleaded,VIC,car/14967288/jeep/cherokee/vic/williamstown-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2014,Mazda,CX-9,Grand Touring,Wagon,138000,Automatic,2026-03-16,14990,Unleaded,VIC,car/14966746/mazda/cx-9/vic/williamstown-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Hyundai,Elantra,Elite,Sedan,179000,Automatic,2026-03-22,8990,Unleaded,VIC,car/14953801/hyundai/elantra/vic/williamstown-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2010,Hyundai,Getz,S,Hatchback,165119,Manual,2026-03-12,4990,Unleaded,VIC,car/14919578/hyundai/getz/vic/coburg-north/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2014,Toyota,HiAce,Lwb,Van,577848,Manual,2026-08-25,12488,Diesel,VIC,car/14870537/toyota/hiace/vic/braybrook/van,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Holden,Colorado,Ltz (4X2),Crew Cab Pickup,357672,Automatic,,10499,Diesel,VIC,car/14886177/holden/colorado/vic/braybrook/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2021,Hyundai,Santa FE,Elite Mpi (2Wd),Wagon,142692,Automatic,2026-07-29,28950,Unleaded,VIC,car/14896505/hyundai/santa-fe/vic/brighton/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2015,Isuzu,D-MAX,Sx (4X4),Space Cab Chassis,174000,Manual,,27990,Diesel,VIC,car/14957414/isuzu/d-max/vic/footscray/extra-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2014,Nissan,Pulsar,St-L,Hatchback,254129,Manual,,4990,Unleaded,VIC,car/14969903/nissan/pulsar/vic/west-footscray/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2015,BMW,118I,Sport Line,Hatchback,119774,Automatic,2026-03-06,14500,Premium,VIC,car/14840999/bmw/118i/vic/cranbourne-west/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2019,Mercedes-Benz,C63,S,Sedan,88045,Automatic,2026-08-17,96990,Premium,VIC,car/14914441/mercedes-benz/c63/vic/balwyn/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Toyota,Estima,AERAS,OtherCar,77200,Automatic,2025-11-06,16499,Unleaded,VIC,car/14895465/toyota/estima/vic/st-kilda/othercar,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
