year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason,status,first_seen,last_seen,last_price,last_price_date,sold_date,source,make_norm,model_norm,variant_norm,transmission_norm,fuel_norm,body_norm,year_int,price_value,odometer_value
2007,Toyota,Corolla,Ascent,Sedan,199897.0,Automatic,2025-12-19,7688.0,Unleaded,VIC,car/14811005/toyota/corolla/vic/braybrook/sedan,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE_YEAR],,,,,,,,toyota,corolla,ascent,automatic,unleaded,sedan,2007,7688.0,199897.0
2020,Toyota,Corolla,,SUV,117171.0,Automatic,2026-03-10,24999.0,Other,VIC,car/14856277/toyota/corolla/vic/ringwood/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,corolla,,automatic,other,suv,2020,24999.0,117171.0
2020,Toyota,Corolla,TOURING  HYBRID G-X-(S),SUV,119763.0,Automatic,,18999.0,Hybrid,VIC,car/14826307/toyota/corolla/vic/st-kilda/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,corolla,touring hybrid g x s,automatic,hybrid,suv,2020,18999.0,119763.0
2014,Toyota,Hilux,Workmate,Dual Cab Pick-up,217162.0,Manual,2026-02-25,14799.0,Unleaded,VIC,car/14767641/toyota/hilux/vic/braybrook/dual-cab,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hilux,workmate,manual,unleaded,dual cab pick up,2014,14799.0,217162.0
2025,Toyota,Yaris,Ascent Sport Hybrid,Hatchback,9703.0,Automatic,,31777.0,Hybrid,VIC,car/14857967/toyota/yaris/vic/oakleigh/hatchback,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,yaris,ascent sport hybrid,automatic,hybrid,hatchback,2025,31777.0,9703.0
2008,Toyota,HiAce,Commuter,Bus,145000.0,Automatic,,26990.0,Unleaded,VIC,car/14879412/toyota/hiace/vic/footscray/people-mover,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hiace,commuter,automatic,unleaded,bus,2008,26990.0,145000.0
2019,Toyota,Camry,Ascent (Hybrid),Sedan,13000.0,Automatic,,29880.0,Hybrid,VIC,car/14785030/toyota/camry/vic/footscray/sedan,2026-01-25T15:12:25,toyota_camry_ascent_hybrid_auto_sedan_axvh71r,[OK],,,,,,,,toyota,camry,ascent hybrid,automatic,hybrid,sedan,2019,29880.0,13000.0
2008,Toyota,Camry,Altise,Sedan,199890.0,Automatic,2026-06-30,8990.0,Unleaded,VIC,car/14809170/toyota/camry/vic/cranbourne-west/sedan,2026-01-25T15:12:25,UNCLASSIFIED,[AMBIG_BADGE],,,,,,,,toyota,camry,altise,automatic,unleaded,sedan,2008,8990.0,199890.0
2013,Toyota,Crown,ROYAL SALOON-HYBRID--S,Sedan,73830.0,Automatic,,18999.0,Hybrid,VIC,car/14826296/toyota/crown/vic/st-kilda/limousine,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,crown,royal saloon hybrid s,automatic,hybrid,sedan,2013,18999.0,73830.0
2020,Toyota,Yaris,HYBRID X--S,SUV,106287.0,Automatic,,17999.0,Hybrid,VIC,car/14908868/toyota/yaris/vic/st-kilda/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,yaris,hybrid x s,automatic,hybrid,suv,2020,17999.0,106287.0
