event_date,event,url,price,previous_price,price_change,year,make,model,variant,body_type,odometer,transmission,rego,fuel_type,location
2026-01-25T15:33:31,listed,car/14826313/toyota/c-hr/vic/st-kilda/suv,25500.0,,,2018,Toyota,C-HR,(HYBRID)  -(S),SUV,72471,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14811924/toyota/paseo/vic/braybrook/coupe,6999.0,,,1997,Toyota,Paseo,,Coupe,346720,Manual,2026-01-25,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14826986/toyota/landcruiser-prado/vic/cranbourne-west/suv,24990.0,,,2010,Toyota,Landcruiser Prado,Gxl (4X4),Wagon,263920,Automatic,2026-01-26,Diesel,VIC
2026-01-25T15:33:31,listed,car/14826272/toyota/c-hr/vic/st-kilda/suv,24900.0,,,2018,Toyota,C-HR,(HYBRID),SUV,82800,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14912820/toyota/corolla/vic/st-kilda/suv,19499.0,,,2020,Toyota,Corolla,TOURING (HYBRID)-S,SUV,162321,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14807423/toyota/yaris/vic/oakleigh/hatchback,7333.0,,,2007,Toyota,Yaris,Yr,Hatchback,167480,Manual,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14780371/toyota/rav4/vic/braybrook/suv,7688.0,,,2003,Toyota,RAV4,Cruiser (4X4),Wagon,334754,Automatic,2026-03-27,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14767326/toyota/hilux/vic/preston/dual-cab,41990.0,,,2017,Toyota,Hilux,Sr (4X4),Dual Cab Utility,60981,Automatic,,Diesel,VIC
2026-01-25T15:33:31,listed,car/14814737/toyota/hilux/vic/tullamarine/dual-cab,45990.0,,,2018,Toyota,Hilux,Sr5 (4X4),Double Cab Pick Up,144080,Automatic,2026-03-24,Diesel,VIC
2026-01-25T15:33:31,listed,car/14859114/toyota/corolla/vic/coburg-north/hatchback,26990.0,,,2020,Toyota,Corolla,Zr,Hatchback,81988,Automatic,2026-11-28,Unleaded,VIC
