year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2010,Toyota,RAV4,Cruiser (4X4),Wagon,322980,Automatic,2026-01-29,7688,Unleaded,VIC,car/14810821/toyota/rav4/vic/alphington/suv,2026-01-25T15:12:25,,
2010,Toyota,Corolla,Ascent,Hatchback,266735,Automatic,2026-02-15,7990,Unleaded,VIC,car/14891390/toyota/corolla/vic/maidstone/hatchback,2026-01-25T15:12:25,,
2023,Toyota,Landcruiser Prado,Kakadu,Wagon,40123,Automatic,2026-03-25,93990,Diesel,VIC,car/14871431/toyota/landcruiser-prado/vic/south-melbourne/suv,2026-01-25T15:12:25,,
2008,Toyota,Yaris,Yrs,Sedan,218959,Automatic,2026-09-13,6990,Unleaded,VIC,car/14902582/toyota/yaris/vic/maidstone/sedan,2026-01-25T15:12:25,,
2011,Toyota,Kluger,Kx-S (4X4),Wagon,115360,Automatic,2026-03-25,19888,Unleaded,VIC,car/14800927/toyota/kluger/vic/alphington/suv,2026-01-25T15:12:25,,
2012,Toyota,Aurion,Presara,Sedan,235440,Automatic,2026-02-14,11990,Unleaded,VIC,car/14907928/toyota/aurion/vic/maidstone/sedan,2026-01-25T15:12:25,,
2022,Toyota,Corolla,Ascent Sport Hybrid,Sedan,156939,Automatic,,23990,Hybrid,VIC,car/14819802/toyota/corolla/vic/maidstone/sedan,2026-01-25T15:12:25,,
2018,Toyota,HiAce,Commuter,Bus,98000,Automatic,2026-06-29,44990,Diesel,VIC,car/14822255/toyota/hiace/vic/nunawading/people-mover,2026-01-25T15:12:25,,
2024,Toyota,RAV4,Cruiser (2Wd) Hybrid,Wagon,23737,Automatic,2026-04-09,56990,Hybrid,VIC,car/14814242/toyota/rav4/vic/melbourne/suv,2026-01-25T15:12:25,,
2009,Toyota,Corolla,Ascent,Hatchback,321522,Automatic,2026-01-02,6688,Unleaded,VIC,car/14830803/toyota/corolla/vic/braybrook/hatchback,2026-01-25T15:12:25,,
2024,Toyota,RAV4,Gx (Awd) Hybrid,Wagon,9004,Automatic,2026-09-16,48970,Hybrid,VIC,car/14894814/toyota/rav4/vic/keysborough/suv,2026-01-25T15:12:25,,
2018,Toyota,C-HR,(HYBRID)  -(S),SUV,72471,Automatic,,25500,Hybrid,VIC,car/14826313/toyota/c-hr/vic/st-kilda/suv,2026-01-25T15:12:25,,
1997,Toyota,Paseo,,Coupe,346720,Manual,2026-01-25,6999,Unleaded,VIC,car/14811924/toyota/paseo/vic/braybrook/coupe,2026-01-25T15:12:25,,
2010,Toyota,Landcruiser Prado,Gxl (4X4),Wagon,263920,Automatic,2026-01-26,24990,Diesel,VIC,car/14826986/toyota/landcruiser-prado/vic/cranbourne-west/suv,2026-01-25T15:12:25,,
2018,Toyota,C-HR,(HYBRID),SUV,82800,Automatic,,24900,Hybrid,VIC,car/14826272/toyota/c-hr/vic/st-kilda/suv,2026-01-25T15:12:25,,
2020,Toyota,Corolla,TOURING (HYBRID)-S,SUV,162321,Automatic,,19499,Hybrid,VIC,car/14912820/toyota/corolla/vic/st-kilda/suv,2026-01-25T15:12:25,,
