year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,347714,5.0,JTNBU56E20J102922,No plates,Unregistered,4,1.8,White,Black,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50514633/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"marks in boot
large scratch on lh rear door and guard
paint peeling front bumper
dents or marks on body consistent with age and kilometres.
door card worn.",13,3100,2025-04-09
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,343816,5.0,JTNBU56EX0J101002,No plates,Unregistered,4,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50514631/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"paint peeling multiple panels
marks in boot
dents or marks on body consistent with age and kilometres.
large dent on lh rear door
medium scratch on lh rear guard and lh front bumper
medium dent on rh front guard",39,3500,2025-04-09
2013,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,222984,5.0,KMHD251EMEU139465,DKW33G,Unregistered,4,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10348164/motor-vehicles-motor-cycles/2013-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
paint fading roof
large dent on driver side front guard
engine noise observed.",34,3109,2025-04-09
2014,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,157729,5.0,KMHD351EMEU249748,1DA2ES,18-02-2026,4,1.8,Red,Black,Yes,No,Yes,No,Yes,vic,https://www.grays.com/lot/0001-21046846/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
engine noise observed.
airbag light on",72,4500,2025-04-09
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,278585,5.0,JTNBU56E50J102672,1GX6SS,15-04-2025,4,1.8,Silver,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21047001/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
large dent on on the front bumper
seat torn front passenger seat
hail damage visible.",42,4200,2025-04-10
2013,TOYOTA,Corolla,ascent zre182r,Hatchback,CVT,Petrol,256741,5.0,JTNKU3JE60J034765,1EU5UA,15-07-2025,4,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21047009/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre182r-cvt-hatchback,"dents or marks on body consistent with age and kilometres.
medium scratch on front and rear bumper",90,7106,2025-04-10
2018,TOYOTA,Corolla,ascent zre172r,Sedan,CVT,Petrol,129601,5.0,MR053REH205308349,1MN9GB,30-06-2025,4.0,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046822/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-zre172r-cvt-sedan-ex-gov,"dents or marks on body consistent with age and kilometres.
medium dent on rear bumper",136,14300,2025-04-13
2011,TOYOTA,Yaris,yr ncp90r,Hatchback,Automatic,Petrol,235627,5.0,JTDKW923105187545,ZBY901,01-04-2025,4,1.3,White,Grey,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21047111/motor-vehicles-motor-cycles/2011-toyota-yaris-yr-ncp90r-automatic-hatchback,"medium scuff on front and rear bumper
dents or marks on body consistent with age and kilometres.
engine noise observed.
engine noise observed.
front seat worn drivers",40,3209,2025-04-14
2012,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,143057,5.0,KMHD251EMDU058711,ZIT013,27-12-2025,4,1.8,Grey,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21047519/motor-vehicles-motor-cycles/2012-hyundai-i30-active-gd-automatic-hatchback,dents or marks on body consistent with age and kilometres..engine noise observed.,46,5500,2025-04-23
2012,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,197583,5.0,KMHD251EMDU058576,No plates,Unregistered,4,1.8,Red,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21047870/motor-vehicles-motor-cycles/2012-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
body/panel damage various parts of panel
power steering requires attention",5,3900,2025-04-29
