part,pick_price,warranty_price,core_deposit,models_2008_on
Head Light Spot Light each,$25,$30,,P.O.A
Heater Control Unit Climate Control,$65,$78,,P.O.A
Heater Control Standard,$35,$42,,P.O.A
Heater Box,$45,$54,,P.O.A
Heater Core,$35,$42,,P.O.A
Heater Tap,$15,$18,,P.O.A
Hinge Bonnet,$15,$18,,P.O.A
Hinge Boot,$10,$12,,P.O.A
Hinge Door,$15,$18,,P.O.A
Hinge Sliding Door,$30,$36,,P.O.A
Hinge Sliding Door Track,$35,$42,,P.O.A
Horn Air Type,$15,$18,,P.O.A
Horn,$5,$6,,P.O.A
Horn Pad-Non Airbag Type,$25,$30,,P.O.A
Hose Air Flow Meter 15cm & Longer Intake,$20,$24,,P.O.A
Hose Air Flow Meter Under 15cm Intake,$10,$12,,P.O.A
Hose Gas Filler,$10,$12,,P.O.A
Hose Heater,$5,$6,,P.O.A
Hose Radiator Short,$5,$6,,P.O.A
Hose Radiator Long,$10,$12,,P.O.A
Hub 4WD Free Wheeling,$50,$60,,P.O.A
Hub Bare Wheel,$30,$36,,P.O.A
Hub Cap 13″/14″,$10,$12,,P.O.A
Hub Cap 15″,$20,$24,,P.O.A
Hub Cap 4WD Plastic,$15,$18,,P.O.A
I,I,I,I,I
Idler Arm,$25,$30,,P.O.A
Idle Speed Motor,$30,$36,,P.O.A
Ignitor,$20,$24,,P.O.A
Ignition Control Box/Module,$35,$42,,P.O.A
Ignition Lead,$2,$2.20,,P.O.A
Ignition Lead with Insert,$10,$12,,P.O.A
Injector (Each) Petrol/Diesel,$20/$65,$24/$78,,P.O.A
Injector Rail Petrol Bare,$40,$48,,P.O.A
Intercooler Turbo,$55,$66,,P.O.A
J,J,J,J,J
Jack with Handle,$20,$24,,P.O.A
Jack,$15,$18,,P.O.A
Jack Bottle,$25,$30,,P.O.A
Jack Handle/Wheel Brace,$5,$6,,P.O.A
K,K,K,K,K
King Pin,$20,$24,,P.O.A
Knob Door LockP,$5,$6,,.O.A
Knuckle Intermediate Stg Shaft,$30,$36,,P.O.A
Knuckle Suspension Bare,$55,$66,,P.O.A
Knuckle Suspension with Hub,$85,$102,,P.O.A
Knuckle Suspension with Hub&Disc,$130,$156,,P.O.A
L,L,L,L,L
Lens Bar Light,$30,$36,,P.O.A
Lens Indicator/Parker,$20,$24,,P.O.A
Lens Interior Light,$10,$12,,P.O.A
Lens Tail Light Passenger Car Large (Eg. Commodore),$45,$54,,P.O.A
Lens Tail Light Passenger Car Small (Eg. Corolla),$40,$48,,P.O.A
Lens Tail Light 4WD/Commercial,$45,$54,,P.O.A
Lever Fuel/Boot Release,$10,$12,,P.O.A
Light Stop Light Rear Screen,$20,$24,,P.O.A
Light Courtesy Door/Pillar,$5,$6,,P.O.A
Light Driving/Spot/Fog,$30,$36,,P.O.A
Light Rim 1 Piece,$20,$24,,P.O.A
Light Interior,$10,$12,,P.O.A
Light Number Plate,$5,$6,,P.O.A
Light Repeater on Guard,$10,$12,,P.O.A
Line Transmission,$25,$30,,P.O.A
Line Fuel Each,$15,$18,,P.O.A
Line Air Conditioning,$25,$30,,P.O.A
Line Power Steering High Pressure,$30,$36,,P.O.A
Line Power Steering Low Pressure,$15,$18,,P.O.A
Liner Bonnet,$25,$30,,P.O.A
Liner Boot,$20,$24,,P.O.A
Liner Guard,$25,$30,,P.O.A
Liner Tub/Ute,$110,$132,,P.O.A
Linkage Wiper Motor (No Motor),$50,$60,,P.O.A
Linkage Wiper Motor 1 Pivot,$25,$30,,P.O.A
Lock Barrel Boot (No Key),$10,$12,,P.O.A
Lock Barrel Door (No Key),$10,$12,,P.O.A
Lock Barrel with Key Door/Boot,$25,$30,,P.O.A
Lock Ignition Barrel no Key,$25,$30,,P.O.A
Lock Ignition Barrel & Key,$65,$78,,P.O.A
"Lock Set Ignition, Door & Boot",$110,$132,,P.O.A
Lock Door Mechanism (Not Actuator),$15,$18,,P.O.A
Lock Glovebox,$5,$6,,P.O.A
Lock Latch,$10,$12,,P.O.A
Loom Ignition Switch Wiring,$30,$36,,P.O.A
Loom Engine,$65,$78,,P.O.A
Loom Dash,$40,$48,,P.O.A
Loom and Plug 5″,$10,$12,,P.O.A
Loom Tail Light with Globes each,$20,$24,,P.O.A
Loom Wire Small,$10,$12,,P.O.A
Loom Wire Large,$30,$36,,P.O.A
M,M,M,M,M
Miscellaneous Small,$10,$12,,P.O.A
Miscellaneous Large,$20,$24,,P.O.A
Miscellaneous,$25,$30,,P.O.A
Manifold Exhaust,$50,$60,,P.O.A
Manifold Inlet,$55,$66,,P.O.A
Manifold Inlet Ram Type,$75,$90,,P.O.A
Mat Boot,$10,$12,,P.O.A
Mat Boot Carpet,$20,$24,,P.O.A
Mat Dash,$10,$12,,P.O.A
Mat Floor each,$5,$6,,P.O.A
Mirror Interior,$15,$18,,P.O.A
Mirror Door Electric,$40,$48,,P.O.A
Mirror Door Manual,$30,$36,,P.O.A
Mirror 4WD/Commercial,$55,$66,,P.O.A
Motor Electric Window & Reg Front,$45,$54,,P.O.A
Motor Electric Window & Reg Rear,$35,$42,,P.O.A
Motor Electric 4WD/Commercial Window & Reg,$55,$66,,P.O.A
Motor Washer Bottle,$10,$12,,P.O.A
Mould General Small,$10,$12,,P.O.A
Mould General Large,$20,$24,,P.O.A
Mould Bonnet,$25,$30,,P.O.A
Mould Boot,$20,$24,,P.O.A
Mould Drip Rail/Gutter,$20,$24,,P.O.A
Mould Door Front,$25,$30,,P.O.A
Mould Door Rear,$20,$24,,P.O.A
Mould Guard or Quarter,$15,$18,,P.O.A
Mould Sill,$35,$42,,P.O.A
Moulds Chrome,P.O.A,P.O.A,,P.O.A
Mould Inner Pillar,$15,$18,,P.O.A
Mould Inner Sill,$15,$18,,P.O.A
N,N,N,N,N
Neck Filler,$15,$18,,P.O.A
Nudge Bar,$80,$96,,P.O.A
Number Plate Garnish Surround,$40,$48,,P.O.A
Number Plate Garnish Surround with Chrome,$55,$66,,P.O.A
P,P,P,P,P
Panel Lower Apron Front/Rear,$35,$42,,P.O.A
Panel Body Shell,P.O.A,P.O.A,P.O.A,P.O.A
Panel Bonnet Large,$120,$144,,P.O.A
Panel Bonnet Small,$90,$108,,P.O.A
Panel Bonnet 4WD/Commercial,$165,$198,,P.O.A
Panel Bonnet Support,$25,$30,,P.O.A
Panel Boot Lid Bare,$65,$78,,P.O.A
Panel Boot Lid with Spoiler,$110,$132,,P.O.A
Panel Canopy Complete,$150 to $500,$180 to $600,,P.O.A
Panel Front Door Coupe (Shell),$125,$150,,P.O.A
Panel Front Door Car (Shell),$100,$120,,P.O.A
Panel Front Door 4WD /Commercial (Shell),$150,$180,,P.O.A
Panel Front Door Coupe (Complete),$150,$180,,P.O.A
Panel Front Door Car (Complete),$150,$180,,P.O.A
Panel Front Door 4WD/Commercial (Complete),$175,$210,,P.O.A
Panel Sliding Door Commercial,$150,$180,,P.O.A
Panel Rear Door Car,$110,$132,,P.O.A
Panel Rear Door Car (Bare),$80,$96,,P.O.A
Panel Rear Door 4WD/Commercial,$150,$180,,P.O.A
Panel Rear Door 4WD/Commercial (Bare),$125,$150,,P.O.A
Panel Rear Door Barn Type,$110,$132,,P.O.A
Panel Tailgate Commercial Van,$150,$180,,P.O.A
Panel Tailgate Panel Van/ Ute,$110,$132,,P.O.A
Panel Filler Front or Rear,$20,$24,,P.O.A
Panel Fuel Flap,$20,$24,,P.O.A
Panel Grille Vertical Support,$15,$18,,P.O.A
Panel Guard Car,$75,$90,,P.O.A
Panel Guard 4WD,$90,$108,,P.O.A
Panel Guard 4WD with Flare,$125,$150,,P.O.A
Panel Guard Liner,$25,$30,,P.O.A
Panel Guard Bolt On Ute,$20,$24,,P.O.A
Panel Nose Eg. TM Magna,$30,$36,,P.O.A
Panel Nose Cone,$90,$108,,P.O.A
Panel Scuttle,$20,$24,,P.O.A
Panel Spare Wheel Door Ute/Panel Van,$25,$30,,P.O.A
Panel Stone Tray,$30,$36,,P.O.A
Panel Tail Gate Assy Upper,$110,$132,,P.O.A
Panel Tail Gate S/Wagon Complete,$220,$264,,P.O.A
Pedal Accelerator,$20,$24,,P.O.A
Pedal Accelerator FlyByWire,$45,$54,,P.O.A
Pedal Box Manual,$75,$90,,P.O.A
Pedal Brake,$20,$24,,P.O.A
Pedal Clutch,$20,$24,,P.O.A
Pitman Arm,$25,$30,,P.O.A
Plug Trailer Socket with Loom,$20,$24,,P.O.A
Plug Trailer Socket,$10,$12,,P.O.A
Power Steering Kit,$220,$264,,P.O.A
Power Steering Kit 4WD/Commercial,$250,$300,,P.O.A
Power Steering Box,$95,$114,,P.O.A
Power Steering Line High Pressure,$25,$30,,P.O.A
Power Steering Line Low Pressure,$15,$18,,P.O.A
Power Steering Pump,$55,$66,,P.O.A
Power Steering Pump w/ Reservoir,$65,$78,,P.O.A
Power Steering Reservoir,$20,$24,,P.O.A
Power Steering Rack,$110,$132,,P.O.A
Pump Fuel Electric,$30,$36,,P.O.A
Pump Fuel Electric w/Sender,$55,$66,,P.O.A
Pump Fuel Mechanical,$25,$30,,P.O.A
R,R,R,R,R
Rack Manual Steering,$75,$90,,P.O.A
Rack Power Steering,$110,$132,,P.O.A
Radiator Car,$65,$78,,P.O.A
Radiator 4WD/ Commercial,$85,$102,,P.O.A
Radiator Oil Cooler,$25,$30,,P.O.A
Radiator Shroud,$20,$24,,P.O.A
Radio AM,$20,$24,,P.O.A
Radio CD,$30,$36,,P.O.A
Radio Amp,$45,$54,,P.O.A
Radio CD Stacker,$45,$54,,P.O.A
Radio Speakers Small,$10,$12,,P.O.A
Radio Speakers Large,$20,$24,,P.O.A
Radio Speakers Tweeters,$15,$18,,P.O.A
Radius Rod/ Z Bar,$25,$30,,P.O.A
Reflector,$5,$6,,P.O.A
Regulator Electric Car Front,$45,$54,,P.O.A
Regulator Manual Car Front,$30,$36,,P.O.A
Regulator Electric 4WD Front,$65,$78,,P.O.A
Regulator Electric Rear All,$40,$48,,P.O.A
Regulator Manual Rear All,$25,$30,,P.O.A
Regulator Fuel Pressure,$20,$24,,P.O.A
Relay,$5,$6,,P.O.A
Remote Key Fob,$20,$24,,P.O.A
Rocker Arm,$10,$12,,P.O.A
Roll Bar Ute,$75,$90,,P.O.A
Roof Convertible,$250,$300,,P.O.A
Roof Rack Commercial,$85,$102,,P.O.A
Roof Rack Rola Type,$60,$72,,P.O.A
Roof Rack Standard-2 pieces,$40,$48,,P.O.A
Rubber Seal Boot/Door/Glass,$20,$24,,P.O.A
S,S,S,S,S
