scraped_at,url,row_index,bidding_details,bidder_name,bid_time,bid_price,bid_qty,win_qty,reserve_met
2026-01-09T03:33:06.634884,https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,23,f.h - Mickleham VIC,f.h - Mickleham VIC,22/12/2025 8.17.12 PM AEDT,"AU $ 3,409",1,0,True
2026-01-09T03:33:06.634884,https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,24,M.I - Liverpool NSW,M.I - Liverpool NSW,22/12/2025 3.31.31 PM AEDT,"AU $ 3,309",1,0,True
2026-01-09T03:33:06.634884,https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,25,T.S - Blacktown NSW,T.S - Blacktown NSW,22/12/2025 8.30.35 AM AEDT,"AU $ 3,209",1,0,True
2026-01-09T03:33:06.634884,https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,26,K.M - pendle hill NSW,K.M - pendle hill NSW,22/12/2025 12.17.16 AM AEDT,"AU $ 2,009",1,0,True
2026-01-09T03:33:06.634884,https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,27,J.S - SCONE NSW,J.S - SCONE NSW,20/12/2025 10.50.18 PM AEDT,"AU $ 1,409",1,0,True
2026-01-09T03:33:06.634884,https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,28,O.S - Melton VIC,O.S - Melton VIC,20/12/2025 11.03.01 PM AEDT,"AU $ 1,209",1,0,True
2026-01-09T03:33:06.634884,https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,29,A.A - Bankstown NSW,A.A - Bankstown NSW,20/12/2025 10.47.40 PM AEDT,"AU $ 1,009",1,0,True
2026-01-09T03:33:06.634884,https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,30,G.S - Tarneit VIC,G.S - Tarneit VIC,20/12/2025 5.48.22 PM AEDT,AU $ 809,1,0,True
2026-01-09T03:33:06.634884,https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,31,P.S - Hartley NSW,P.S - Hartley NSW,20/12/2025 1.21.48 PM AEDT,AU $ 409,1,0,True
2026-01-09T03:33:06.634884,https://www.grays.com/lot/0001-10351965/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,32,R.S - Marsden Park NSW,R.S - Marsden Park NSW,19/12/2025 10.33.30 PM AEDT,AU $ 209,1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,1,s.r - auburn NSW,s.r - auburn NSW,07/01/2026 8.05.57 PM AEDT,"AU $ 16,700",1,1,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,2,T.D - Carlingford NSW,T.D - Carlingford NSW,07/01/2026 8.06.55 PM AEDT,"AU $ 16,700",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,3,A.b - Seven hills NSW,A.b - Seven hills NSW,07/01/2026 8.05.46 PM AEDT,"AU $ 16,500",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,4,D.M - PORT MELBOURNE VIC,D.M - PORT MELBOURNE VIC,07/01/2026 7.59.45 PM AEDT,"AU $ 16,000",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,5,c.m - sandgate NSW,c.m - sandgate NSW,07/01/2026 6.04.16 PM AEDT,"AU $ 13,300",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,6,M.J - Kellyville NSW,M.J - Kellyville NSW,06/01/2026 10.08.32 PM AEDT,"AU $ 13,200",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,7,A.K - ROSEHILL NSW,A.K - ROSEHILL NSW,02/01/2026 10.13.36 PM AEDT,"AU $ 12,800",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,8,B.A - Sefton NSW,B.A - Sefton NSW,02/01/2026 11.42.57 AM AEDT,"AU $ 12,750",1,0,True
