url,state,current_price,final_sale_price,final_sale_date,sale_price_source,bid_count,time_remaining,last_seen_at,terminal_reason,state_updated_at,fetch_fail_count,last_fetch_error,last_evidence,run_id
https://www.grays.com/lot/0001-10352944/motor-vehicles-motor-cycles/2011-mercedes-benz-cl-class-cl500-c216-automatic-coupe,referred,5450.0,,,,107.0,8h 36m56s,2026-03-12T17:05:11.804331,referred,2026-03-12T17:05:11.804331,0,,referred_or_cancelled_indicator,bids_20260312T170415Z
https://www.grays.com/lot/0001-10352947/motor-vehicles-motor-cycles/2016-mercedes-benz-gle-class-amg-gle-63s-4matic-c292-automatic-coupe,referred,30800.0,,,,488.0,8h 36m45s,2026-03-12T17:05:24.669000,referred,2026-03-12T17:05:24.669000,0,,referred_or_cancelled_indicator,bids_20260312T170415Z
https://www.grays.com/lot/0001-10352948/motor-vehicles-motor-cycles/2018-mazda-bt-50-4x2-xt-turbo-diesel-automatic-cab-chassis,referred,6500.0,,,,47.0,8h 36m35s,2026-03-12T14:38:27.449450,referred,2026-03-12T14:38:27.449450,0,,referred_or_cancelled_indicator,bids_20260312T143806Z
https://www.grays.com/lot/0001-10352949/motor-vehicles-motor-cycles/2007-lexus-is-is250-prestige-automatic-sedan,referred,209.0,,,,15.0,8h 36m23s,2026-03-12T14:38:44.449535,referred,2026-03-12T14:38:44.449535,0,,referred_or_cancelled_indicator,bids_20260312T143806Z
https://www.grays.com/lot/0001-10352950/motor-vehicles-motor-cycles/2014-mercedes-benz-cla-class-cla250-sport-awd-c117-automatic-coupe,referred,8200.0,,,,54.0,8h 35m59s,2026-03-12T14:38:56.398329,referred,2026-03-12T14:38:56.398329,0,,referred_or_cancelled_indicator,bids_20260312T143806Z
https://www.grays.com/lot/0001-10352951/motor-vehicles-motor-cycles/2020-mitsubishi-triton-4x4-glx-adas-double-mr-t-d-auto-crew-cab-chassis,referred,3709.0,,,,160.0,1d 7h 50m33s,2026-03-12T14:39:09.090510,referred,2026-03-12T14:39:09.090510,0,,referred_or_cancelled_indicator,bids_20260312T143806Z
https://www.grays.com/lot/0001-10913014/motor-vehicles-motor-cycles/2007-volkswagen-touareg-r50-5-0-v10-tdi-7l-turbo-diesel-automatic-wagon,referred,2009.0,,,,52.0,8h 19m48s,2026-03-12T14:39:32.579216,referred,2026-03-12T14:39:32.579216,0,,referred_or_cancelled_indicator,bids_20260312T143806Z
https://www.grays.com/lot/0001-21063313/motor-vehicles-motor-cycles/2022-mitsubishi-pajero-sport-glx-4wd-qf-t-d-auto-8-speed-ex-gov,sold,32500.0,,,,182.0,10 March 2026 20:00 AEDT,2026-03-12T14:39:49.264829,sold_with_final_price,2026-03-12T14:39:49.264829,0,,date_sold_and_bids,bids_20260312T143806Z
https://www.grays.com/lot/0001-21063314/motor-vehicles-motor-cycles/2021-subaru-forester-2-5i-l-s5-cvt-wagon-ex-gov,sold,22800.0,,,,210.0,10 March 2026 20:00 AEDT,2026-03-12T14:40:27.816585,sold_with_final_price,2026-03-12T14:40:27.816585,0,,date_sold_and_bids,bids_20260312T143806Z
https://www.grays.com/lot/0001-21063332/motor-vehicles-motor-cycles/2020-hyundai-iload-tq-ii-turbo-diesel-automatic-van-ex-gov,sold,28701.0,,,,405.0,10 March 2026 20:00 AEDT,2026-03-12T14:40:47.355039,sold_with_final_price,2026-03-12T14:40:47.355039,0,,date_sold_and_bids,bids_20260312T143806Z
https://www.grays.com/lot/0001-21063333/motor-vehicles-motor-cycles/2020-ford-ranger-xl-4x4-px-iii-t-d-auto-cab-chassis-ex-gov,sold,17500.0,,,,99.0,10 March 2026 20:00 AEDT,2026-03-12T14:41:05.745926,sold_with_final_price,2026-03-12T14:41:05.745926,0,,date_sold_and_bids,bids_20260312T143806Z
https://www.grays.com/lot/0001-21063423/motor-vehicles-motor-cycles/2005-bmw-5-series-530i-touring-e61-automatic-wagon,referred,1500.0,,,,22.0,8h 23m9s,2026-03-12T14:41:25.134352,referred,2026-03-12T14:41:25.134352,0,,referred_or_cancelled_indicator,bids_20260312T143806Z
https://www.grays.com/lot/0001-21063639/motor-vehicles-motor-cycles/2007-mitsubishi-lancer-es-cj-cvt-sedan,sold,1309.0,,,,14.0,10 March 2026 20:00 AEDT,2026-03-12T14:41:59.575770,sold_with_final_price,2026-03-12T14:41:59.575770,0,,date_sold_and_bids,bids_20260312T143806Z
https://www.grays.com/lot/0001-21063655/motor-vehicles-motor-cycles/2008-nissan-x-trail-tl-t31-turbo-diesel-automatic-wagon,referred,709.0,,,,16.0,8h 17m23s,2026-03-12T14:42:34.570379,referred,2026-03-12T14:42:34.570379,0,,referred_or_cancelled_indicator,bids_20260312T143806Z
