run_id,dataset_id,scraped_at,source,ad_id,url,title,make,model,year,badge,series,model_year,variant,price,odometer,body_type,transmission,fuel_type,engine,seller_type,state,region,suburb,market_indicator,price_assessment
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:43.743Z,carsales_apify,SSE-AD-20359209,https://www.carsales.com.au/cars/details/2015-holden-barina-cdx-tm-auto-my16/SSE-AD-20359209/,2015 Holden Barina CDX TM Auto MY16,holden,barina,2015,cdx,TM,MY16,Cdx Barina,8450,105800,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,sydney east,baulkham hills,Below market price,Below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:44.437Z,carsales_apify,SSE-AD-20641300,https://www.carsales.com.au/cars/details/2014-holden-barina-cd-tm-auto-my14/SSE-AD-20641300/,2014 Holden Barina CD TM Auto MY14,holden,barina,2014,cd,TM,MY14,Cd Barina,5500,108500,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,vic,melbourne,coburg,Well below market price,Well below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:45.048Z,carsales_apify,SSE-AD-18881097,https://www.carsales.com.au/cars/details/2014-holden-barina-cdx-tm-auto-my14/SSE-AD-18881097/,2014 Holden Barina CDX TM Auto MY14,holden,barina,2014,cdx,TM,MY14,Cdx Barina,8000,136000,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,sydney metro,belfield,Around market price,Around market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:47.838Z,carsales_apify,SSE-AD-20721731,https://www.carsales.com.au/cars/details/2017-holden-barina-ls-tm-auto-my17/SSE-AD-20721731/,2017 Holden Barina LS TM Auto MY17,holden,barina,2017,ls,TM,MY17,Ls Barina,9990,128700,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,sa,adelaide,seaford,Around market price,Around market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:49.243Z,carsales_apify,SSE-AD-20370721,https://www.carsales.com.au/cars/details/2013-holden-barina-cdx-tm-auto-my13/SSE-AD-20370721/,2013 Holden Barina CDX TM Auto MY13,holden,barina,2013,cdx,TM,MY13,Cdx Barina,7100,81359,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,sydney east,castle hill,Below market price,Below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:50.161Z,carsales_apify,SSE-AD-20753901,https://www.carsales.com.au/cars/details/2013-holden-barina-cdx-tm-auto-my13/SSE-AD-20753901/,2013 Holden Barina CDX TM Auto MY13,holden,barina,2013,cdx,TM,MY13,Cdx Barina,7200,177361,sedan,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,penrith & blue mts.,west hoxton,Around market price,Around market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:50.438Z,carsales_apify,SSE-AD-20379626,https://www.carsales.com.au/cars/details/2016-holden-barina-cd-tm-auto-my16/SSE-AD-20379626/,2016 Holden Barina CD TM Auto MY16,holden,barina,2016,cd,TM,MY16,Cd Barina,6700,80000,hatch,automatic,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,vic,geelong districts,werribee,Well below market price,Well below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:51.340Z,carsales_apify,SSE-AD-20528036,https://www.carsales.com.au/cars/details/2010-holden-barina-tk-manual-my10/SSE-AD-20528036/,2010 Holden Barina TK Manual MY10,holden,barina,2010,(no badge),TK,MY10,(no Badge) Barina,3500,152100,hatch,manual,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,central coast,waratah,Below market price,Below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:58.639Z,carsales_apify,SSE-AD-20688195,https://www.carsales.com.au/cars/details/2013-holden-barina-cd-tm-manual-my13/SSE-AD-20688195/,2013 Holden Barina CD TM Manual MY13,holden,barina,2013,cd,TM,MY13,Cd Barina,3200,177635,hatch,manual,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,wa,perth,nollamara,Well below market price,Well below market price
7WiZTPzBBDWBnn9kK,693TECd2vPuT3s5FA,2026-08-12T18:49:59.139Z,carsales_apify,SSE-AD-20385484,https://www.carsales.com.au/cars/details/2011-holden-barina-tm-manual/SSE-AD-20385484/,2011 Holden Barina TM Manual,holden,barina,2011,(no badge),,,(no Badge) Barina,3200,174000,hatch,manual,petrol - unleaded ulp,"4 cylinders, Petrol Aspirated, 1.6L",private,nsw,sydney east,lane cove,Below market price,Below market price
