year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,canonical_tag,canonical_reason,price_numeric,price_text,bids_numeric,ledger_source,strict_sold_ready,strict_exclusion_reason
2013.0,Ford,Kuga Awd Trend Tf Turbo Diesel Automatic Wagon,AWD TREND TF Turbo Diesel Automatic Wagon,Wagon,Automatic,Diesel,"174912 - Odometer discrepancy detected, see attached history report",5,WF0AXXWPMADD77742,No plates,?,4,2,Dark Blue,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10910533/motor-vehicles-motor-cycles/2013-ford-kuga-awd-trend-tf-turbo-diesel-automatic-wagon,"Paint peeling On bonnet
Transmission Requires attention Strongly recommend inspection by qualified third party",5.0,1600.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2009.0,Bmw,1 20I E88 Automatic Convertible Complied,20i E88 Automatic Convertible (Complied 2010),Convertible,Automatic,Petrol,197256,4,WBAUL52070VL55198,2AC2JB,18-03-2025,4,2,Silver,Black Leather,Yes,No,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045523/motor-vehicles-motor-cycles/2009-bmw-1-20i-e88-automatic-convertible-complied-2010,Dents or marks on body consistent with age and kilometres.,86.0,7800.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
0.0,Honda,Civic Vti S 9Th Gen Manual Hatchback,VTi-S 9TH GEN Manual Hatchback,Hatchback,Manual,Petrol,98021,5,SHHFK2740DU302873,1GW4ZQ,25-02-2026,4,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045515/motor-vehicles-motor-cycles/honda-civic-vti-s-9th-gen-manual-hatchback,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Rear passenger",99.0,6500.0,,,,,,,,historical_sold,False,[BAD_YEAR]
0.0,Holden,Captiva 7 Sx 2Wd Cg Ii Turbo Diesel Automatic 7 Seats Wagon,7 SX 2WD CG II Turbo Diesel Automatic 7 Seats Wagon,Wagon,Automatic,Diesel,119302,7,KL3CA266JBB132610,?,?,4,2.2,White,Grey,Yes,Yes,Yes,Yes,No,NSW,https://www.grays.com/lot/0001-10347727/motor-vehicles-motor-cycles/holden-captiva-7-sx-2wd-cg-ii-turbo-diesel-automatic-7-seats-wagon,"Dents Or Marks On Body Consistent With Age And Kilometersi>
Rear Bar Damaged, Cracked Bumper.
Front Seat Worn Driver Seat.
Paint Peeling On Various Panels",4.0,209.0,,,,,,,,historical_sold,False,[BAD_YEAR]
2009.0,Audi,A5 2 0 Tfsi Quattro 8T Automatic Convertible,2.0 TFSI Quattro 8T Automatic Convertible,Convertible,Automatic,Petrol,"120524 - Odometer discrepancy detected, see attached history report.",4,WAUZZZ8F2AN013845,1DJ1DO,21-01-2025,4,2,Black,Black Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045506/motor-vehicles-motor-cycles/2009-audi-a5-2-0-tfsi-quattro-8t-automatic-convertible,"Engine Smoke visible
Large Scratch on Driver door
Dents or marks on body consistent with age and kilometres.
Engine light ON",50.0,5100.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2012.0,Honda,Civic Hybrid 9Th Gen Cvt Sedan Wovr Inspected,Hybrid 9TH GEN CVT Sedan (WOVR - Inspected),Sedan,CVT,Hybrid,128368,5,JHMFB4620CS200090,No plates,?,4,1.5,Silver,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045374/motor-vehicles-motor-cycles/2012-honda-civic-hybrid-9th-gen-cvt-sedan-wovr-inspected,"Paint fading RHR door
Medium Dent on RHR quarter panel.
Dents or marks on body consistent with age and kilometres.
Engine light on.
B2990 A problem in the AC conpressor driving circuit.
IMA light on.
P0A27 Hybrid/EV battery power off circuit.
Battery light on.
ABS Light on.
Recommend Tilt Tray For Collection.",19.0,1709.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2009.0,Bmw,1 Series 135I Sport E82 Automatic Coupe Wovr Inspected,Series 135i SPORT E82 Automatic Coupe (WOVR-INSPECTED),Coupe,Automatic,Premium Unleaded,227074,4,WBAUC72090VF21056,1MQ6VT,28-02-2025,6,3,Silver,Black Leather,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045558/motor-vehicles-motor-cycles/2009-bmw-1-series-135i-sport-e82-automatic-coupe-wovr-inspected,Please refer to the photos or arrange inspection to view the condition of this vehicle.,71.0,7600.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2007.0,Land,Rover Range Rover Sport Tdv6 Turbo Diesel Automatic Wagon,Range Rover Sport TDV6 Turbo Diesel Automatic Wagon,Wagon,Automatic,Diesel,0,5,SALLSAA137A113308,No plates,?,6,2.7,Black,Black Leather,No,No,No,No,No,VIC,https://www.grays.com/lot/0004-21045663/motor-vehicles-motor-cycles/2007-land-rover-range-rover-sport-tdv6-turbo-diesel-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Flat Battery. Jump start or towing required
Front bumper damaged Cracked bumper.
Door Handle Not Working or Broken.
Damaged LHF headlight, broken glass",14.0,1009.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2014.0,Dodge,Journey R T Automatic 7 Seats Wovr Inspected,R/T Automatic 7 Seats WOVR-INSPECTED,People Mover,Automatic,Petrol,133873,7,3C4PDCKG9FT562635,1YP2RV,04-06-2025,6,3.6,Red,Black Leather,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045658/motor-vehicles-motor-cycles/2014-dodge-journey-r-t-automatic-7-seats-wovr-inspected,"Dents or marks on body consistent with age and kilometres.
Engine light ON
front Cracked bumper.",14.0,1309.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
2001.0,Ducati,Super Sport Motorcycle,Super Sport Motorcycle,?,?,Petrol,?,?,ZDMV100AA1B009550,?,?,?,80hp,?,?,Yes,Yes,?,Yes,Yes,?,https://www.grays.com/lot/0001-60047488/motor-vehicles-motor-cycles/2001-ducati-900-super-sport-motorcycle,"Bidders may find when they do perform a PPSR check (highly recommended) in many cases the vehicles do have a security interest registered against them, which will be lifted shortly after the relevant vehicle is sold and monies are cleared in the secured party’s/security holder’s account; and
Please allow up to 10 business days for the security interest registration to be removed.",136.0,8750.0,,,,,,,,historical_sold,False,[NO_DATE_SOLD]
