url,year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,general_condition,canonical_tag,canonical_reason,status,last_observed_price,price,bids,time_remaining_or_date_sold,date_sold
https://www.grays.com/lot/0001-21063705/motor-vehicles-motor-cycles/2009-ford-territory-ts-sy-ii-automatic-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,809.0,,14.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063706/motor-vehicles-motor-cycles/2009-subaru-forester-x-s3-manual-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,2300.0,,24.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063707/motor-vehicles-motor-cycles/2011-audi-a4-2-0-tfsi-b8-cvt-sedan,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,3491.0,,24.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063708/motor-vehicles-motor-cycles/2010-holden-cruze-cd-jg-manual-sedan,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,809.0,,15.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063709/motor-vehicles-motor-cycles/2011-bmw-x3-xdrive-28i-f25-automatic-8-speed-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,5700.0,,81.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063710/motor-vehicles-motor-cycles/2011-holden-cruze-sri-v-jh-automatic-sedan,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,2009.0,,32.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063711/motor-vehicles-motor-cycles/2015-nissan-elgrand-import-e51-automatic-8-seats-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,4909.0,,61.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063712/motor-vehicles-motor-cycles/2013-mazda-cx-5-maxx-sport-ke-automatic-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,3609.0,,41.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063713/motor-vehicles-motor-cycles/2018-land-rover-discovery-sport-sd4-se-177kw-l550-turbo-diesel-9-auto-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,11200.0,,198.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063714/motor-vehicles-motor-cycles/2007-honda-jazz-vti-gd-cvt-hatchback,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,3609.0,,46.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063715/motor-vehicles-motor-cycles/2012-mercedes-benz-b-class-b180-be-w246-automatic-hatchback,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,1209.0,,17.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063716/motor-vehicles-motor-cycles/2004-honda-accord-euro-luxury-7th-gen-manual-sedan,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,2609.0,,28.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063717/motor-vehicles-motor-cycles/2013-volkswagen-polo-77tsi-comfortline-6r-manual-hatchback,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,2209.0,,36.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063718/motor-vehicles-motor-cycles/2013-audi-q7-3-0-tdi-quattro-turbo-diesel-automatic-8-speed-7-seats-wagon,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,5400.0,,90.0,10 March 2026 20:00 AEDT,2026-03-10
https://www.grays.com/lot/0001-21063719/motor-vehicles-motor-cycles/2014-nissan-pulsar-st-b17-cvt-sedan,,,,,,,,,,,,Unregistered,,,,,,,,,,,,,,pending_final_sale_price,2200.0,,28.0,10 March 2026 20:00 AEDT,2026-03-10
