year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,canonical_tag,canonical_reason,drivetrain_source,status,time_remaining_or_date_sold,price,bids
2015,TOYOTA,Corolla,ascent zre172r,Sedan,CVT,Petrol,462309,5.0,MR053REH205284361,1GVL562,31-12-2025,4.0,1.8,White,Charcoal,Yes,Yes,Yes,Partial,Yes,wa,https://www.grays.com/lot/0001-9065980/motor-vehicles-motor-cycles/2015-toyota-corolla-ascent-zre172r-cvt-sedan,"dents or marks on body consistent with age and kilometres.
medium dent on various panels
medium scuff on rear right",toyota_corolla_ascent_petrol_auto_sedan_zre172r,,,,,5200,55
2016,TOYOTA,Corolla,ascent zre172r,Sedan,Automatic,Petrol,187225,5.0,MR053REH205290475,No plates,Unregistered,4.0,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21046806/motor-vehicles-motor-cycles/2016-toyota-corolla-ascent-zre172r-cvt-automatic-sedan,"dents or marks on body consistent with age and kilometres.
large scratch on panel
medium scuff on panel",toyota_corolla_ascent_petrol_auto_sedan_zre172r,,,,,10009,131
2018,TOYOTA,Corolla,ascent sport hybrid zwe211r,Hatchback,CVT,Hybrid,67131,5.0,JTNK93BE803001741,1OH7WH,30-06-2026,4.0,1.8,White,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21052723/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-sport-hybrid-zwe211r-cvt-ex-gov,"dents or marks on body consistent with age and kilometres.
medium scuff on lhs front bumper
paint peeling rhs rear door",toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,,,,,18200,111
2020,TOYOTA,Corolla,ascent sport hybrid zwe211r,Hatchback,CVT,Hybrid,70035,5.0,JTNK93BEX03020985,1UT5EW,25-10-2025,4.0,1.8,Red,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21059266/motor-vehicles-motor-cycles/2020-toyota-corolla-ascent-sport-hybrid-zwe211r-cvt-hatchback,"front bumper cracked.
medium dents, marks, scratches on body consistent with age and kilometres.",toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,,,,,18700,255
2018,TOYOTA,Corolla,ascent sport hybrid zwe211r,Hatchback,CVT,Hybrid,89285,5.0,JTNK93BE303004921,No plates,Unregistered,4.0,1.8,White,Grey,Yes,No,Yes,No,Yes,nsw,https://www.grays.com/lot/0001-10352221/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-sport-hybrid-zwe211r-cvt-hatchback,"medium scratch on rear bar
large dent on drivers rear door
hail damage visible.
front bar damaged cracked bumper.",toyota_corolla_ascent_sport_hybrid_auto_hatch_zwe211r,,,,,13500,66
2019,TOYOTA,Corolla,ascent sport mzea12r,Hatchback,CVT,Petrol,110833,5.0,JTNK43BE003082054,CW75RL,Unregistered,4.0,2.0,White,Grey,Yes,Yes,Yes,Yes,Yes,nsw,https://www.grays.com/lot/0001-10350154/motor-vehicles-motor-cycles/2019-toyota-corolla-ascent-sport-mzea12r-cvt-hatchback,please refer to the photos or arrange inspection to view the condition of this vehicle.,toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,,,,,15100,114
2020,TOYOTA,Corolla,ascent sport mzea12r,Hatchback,CVT,Petrol,54021,5.0,JTNK43BE803095327,No plates,Unregistered,4.0,2.0,White,Black,Yes,Yes,Yes,Yes,Yes,qld,https://www.grays.com/lot/0001-50517277/motor-vehicles-motor-cycles/2020-toyota-corolla-ascent-sport-mzea12r-cvt-hatchback,dents or marks on body consistent with age and kilometres.,toyota_corolla_ascent_sport_petrol_auto_hatch_mzea12r,,,,,19700,100
2014,TOYOTA,Corolla,ascent sport zre182r,Hatchback,CVT,Petrol,143967,5.0,JTNKU3JE10J078835,BZD845,25-08-2026,4.0,1.8,Black,Black,Yes,Yes,Yes,Partial,Yes,vic,https://www.grays.com/lot/0001-21057818/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,"medium scuff on various panels around vehicle
medium dent on various panels around vehicle
front cracked bumper.
dents or marks on body consistent with age and kilometres.",toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,,,,,9300,91
2012,TOYOTA,Corolla,ascent sport zre182r,Hatchback,Automatic,Petrol,126811,5.0,JTNKU3JE10J013645,ZNS649,14-02-2026,4.0,1.8,Grey,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21055943/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-sport-zre182r-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
carpet worn in places.",toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,,,,,10199,103
2014,TOYOTA,Corolla,ascent sport zre182r,Hatchback,CVT,Petrol,198446,5.0,JTNKU3JEX0J060589,YBM83B,Unregistered,4.0,1.8,Grey,Black,Yes,Yes,Yes,Partial,Yes,nsw,https://www.grays.com/lot/0001-10350459/motor-vehicles-motor-cycles/2014-toyota-corolla-ascent-sport-zre182r-cvt-hatchback,please refer to the photos or arrange inspection to view the condition of this vehicle.,toyota_corolla_ascent_sport_petrol_auto_hatch_zre18x,,,,,8300,66
