year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition
2007,AUDI,A4,2.0 B7,Sedan,CVT,Petrol,188564,5,WAUZZZ8E98A052439,No Plates,"Sold Unregistered, Without Plates",4,2,Grey,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352132/motor-vehicles-motor-cycles/2007-audi-a4-2-0-b7-cvt-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.
2014,AUDI,A1,1.4 TFSI ATTRACTION 8X,Hatchback,Automatic,Petrol,175934,5,WAUZZZ8X8EB155553,No Plates,"Sold Unregistered, Without Plates",4,1.4,White,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352134/motor-vehicles-motor-cycles/2014-audi-a1-1-4-tfsi-attraction-8x-automatic-hatchback,Please refer to the photos or arrange inspection to view the condition of this vehicle.
2008,MITSUBISHI,Triton,,Ute,Manual,Petrol,455446,3,MMBENKA908D084170,No Plates,"Sold Unregistered, Without Plates",6,3.5,White,Grey,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352135/motor-vehicles-motor-cycles/2008-mitsubishi-triton-manual-ute,"Large Dent on Passenger side door
Corrosion visible Roof, bonnet, underbody components including chassis
Damaged Tail lights
Flat Battery. Jump start or towing required
Engine Oil Leak
Clutch Requires attention
Front Seat Stains both"
2018,MAZDA,6,Station,Wagon,Automatic,Petrol,140532,5,JM0GL103200301519,DXF27F,"Sold Unregistered, Without Plates",4,2.5,Silver,Black,Yes,Yes,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352136/motor-vehicles-motor-cycles/2018-mazda-6-automatic-station-wagon,"Large Scratch on Driver side rear door and quarter panel
Flat Battery. Jump start or towing required
Engine light ON
Other Warning light ON
Medium Scratch on Bumper bars"
2014,MITSUBISHI,Lancer,Ralliart CJ,Sedan,Automatic,Petrol,169881,5,JMFSMCY4AFU000231,CWZ83B,"Sold Unregistered, Without Plates",4,2,White,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10352137/motor-vehicles-motor-cycles/2014-mitsubishi-lancer-ralliart-cj-automatic-sedan,"Medium Dent on Rear doors
Controls inoperable Parking sensors require attention"
2010,VOLKSWAGEN,Multivan,132 TDI HIGHLINE T5,People Mover,Automatic,Diesel,139104,7,WV2ZZZ7HZBH073548,No plates,"Sold Unregistered, Without Plates",4,2,Black,Grey,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352138/motor-vehicles-motor-cycles/2010-volkswagen-multivan-132-tdi-highline-t5-turbo-diesel-automatic,"Hail damage visible.
Paint fading Bonnet, roof, bumper bars
Controls inoperable Passenger side electric sliding door
Medium Dent on Tailgate
Seat Torn driver seat
Front Seat worn Passenger side
Damaged RHF Fog light
Door Mirror Broken Housing on passenger side"
2008,ALFA,Romeo,GT,Coupe,Manual,Petrol,106499,5,ZAR93700003449496,BMQ16F,"Sold Unregistered, Without Plates",4,2,Silver,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352139/motor-vehicles-motor-cycles/2008-alfa-romeo-gt-manual-coupe,Medium Dent on Driver side rear quarter panel
2020,GREAT,Wall,Steed 4X2,Dual Cab,Manual,Petrol,69333,5,LGWCB3187LB630482,YKN04B,"Sold Unregistered, Without Plates",4,2.4,White,Grey,Yes,No,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352141/motor-vehicles-motor-cycles/2020-great-wall-steed-4x2-manual-dual-cab,"Medium Dent on Roof
Other Warning light ON
Dents or marks on body consistent with age and kilometres."
2010,VOLKSWAGEN,Tiguan,125 TSI 5N,Wagon,Automatic,Petrol,247679,5,WVGZZZ5NZBW039570,FPG53B,"Sold Unregistered, Without Plates",4,2,White,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352142/motor-vehicles-motor-cycles/2010-volkswagen-tiguan-125-tsi-5n-automatic-wagon,"Paint peeling Bonnet with surface rust visible
Engine light ON
Engine idling rough
Damaged Passenger side rear reflector
Dents or marks on body consistent with age and kilometres."
2013,JEEP,Grand,Cherokee Limited WK,Wagon,Automatic,Diesel,233380,5,1C4RJFFM0EC166557,FMI61E,"Sold Unregistered, Without Plates",6,3,Grey,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352143/motor-vehicles-motor-cycles/2013-jeep-grand-cherokee-limited-wk-turbo-diesel-automatic-8-speed-wagon,"Paint fading Bonnet
Large Dent on Passenger side rear quarter panel
Windscreen Chipped or Cracked.
Seat Torn Drivers seat
Damaged Driver side rear foglight"
2013,FORD,Focus,Sport LW II,Hatchback,Automatic,Diesel,128772,5,MPB1XXMXB1DG49164,No Plates,"Sold Unregistered, Without Plates",4,2,Silver,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352144/motor-vehicles-motor-cycles/2013-ford-focus-sport-lw-ii-turbo-diesel-automatic-hatchback,"Paint peeling Mirrors, tailgate
Transmission Requires attention Strongly recommend inspection by qualified third party
Medium Scuff on front bumper"
2015,ISUZU,D-max,4X4 LS-T Hi-Ride,Dual Cab,Automatic,Diesel,255306,5,MPATFS85JFT008151,DJ40VP,"Sold Unregistered, Without Plates",4,3,Black,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352145/motor-vehicles-motor-cycles/2015-isuzu-d-max-4x4-ls-t-hi-ride-turbo-diesel-automatic-dual-cab,"Large Dent on Passenger side rear door
Paint fading Bonnet and roof
Windscreen Chipped or Cracked.
Front Seat Stains and back
Medium Scuff on door panel"
2011,JEEP,Grand,Cherokee Laredo WK,Wagon,Automatic,Petrol,189020,5,1C4RJFEG2CC110032,No plates,"Sold Unregistered, Without Plates. Sold with Blue Slip",6,3.6,White,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352147/motor-vehicles-motor-cycles/2011-jeep-grand-cherokee-laredo-wk-automatic-wagon,"Large Dent on Passenger side front guard
Controls Broken Fan controls below radio loose
Other Warning light ON
Door Mirror Broken driver side mirror
Medium Dent on various panels"
2012,HYUNDAI,I45,Active YF,Sedan,Automatic,Petrol,88347,5,KMHEC41BMCA430143,CIV25U,"22-11-2026-Registration will only be transferred to the registered bidder who must hold a NSW Licence, otherwise, vehicle will be sold unregistered.",4,2,Silver,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352148/motor-vehicles-motor-cycles/2012-hyundai-i45-active-yf-automatic-sedan-88-347kms,"Large Scratch on Bumper bars
Front Seat Marks Drivers seat"
2012,FORD,Focus,Ambiente LW,Hatchback,Automatic,Petrol,90365,5,WF0KXXGCBKCA35023,DP94MD,"Sold Unregistered, Without Plates",4,1.6,Blue,Black,Yes,No,No,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352151/motor-vehicles-motor-cycles/2012-ford-focus-ambiente-lw-automatic-hatchback-90-365kms,"Large Dent on Passenger side rear quarter panel
Large Scratch on Driver side rear quarter panel, rear bumper bar"
2013,MAZDA,Cx-5,Akera KE,Wagon,Automatic,Diesel,249272,5,JM0KE102100232654,CX29PK,"Sold Unregistered, Without Plates",4,2.2,Blue,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352152/motor-vehicles-motor-cycles/2013-mazda-cx-5-akera-ke-turbo-diesel-automatic-wagon,"Paint fading Bonnet, rear spoiler
Large Scratch on Passenger side rear door, front bumper bar
Controls inoperable Interior blower fan inoperative
Other Warning light ON"
2020,FORD,Ranger,XLT 4X4 PX III,Dual Cab,Automatic,Diesel,296553,5,MPBUMFF50LX266116,No Plates,"Sold Unregistered, Without Plates",5,3.2,White,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352153/motor-vehicles-motor-cycles/2020-ford-ranger-xlt-4x4-px-iii-turbo-diesel-automatic-dual-cab,"Large Scratch on Passenger side rear door, front bumper bar
Damaged Passenger side tail light
Medium Scuff on bumper"
2018,TOYOTA,Corolla,ASCENT SPORT HYBRID ZWE211R,Hatchback,CVT,Hybrid,89285,5,JTNK93BE303004921,No plates,"Sold Unregistered, Without Plates",4,1.8,White,Grey,Yes,No,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352154/motor-vehicles-motor-cycles/2018-toyota-corolla-ascent-sport-hybrid-zwe211r-cvt-hatchback,"Medium Scratch on Rear bar
Large Dent on Drivers rear door
Hail damage visible.
Front bar damaged Cracked bumper."
