source_pos,source_from_end,chunk_from_end,url,year,make,model,variant,old_price,new_price,price_delta,old_date_sold,new_date_sold,old_bids,new_bids
16170,933,900,https://www.grays.com/lot/0001-9066948/motor-vehicles-motor-cycles/1999-toyota-landcruiser-gxl-fzj105r-automatic-wagon,1999,toyota,landcruiser,gxl fzj105r,9,"$5,600",5591,2026-02-12,17 February 2026,1,68
16169,934,900,https://www.grays.com/lot/0001-9066947/motor-vehicles-motor-cycles/2011-audi-a4-1-8-tfsi-b8-cvt-wagon,2011,audi,a4,1.8 tfsi b8,9,"$1,800",1791,2026-02-12,17 February 2026,0,22
16168,935,900,https://www.grays.com/lot/0001-9066945/motor-vehicles-motor-cycles/2011-skoda-yeti-77tsi-automatic-wagon,2011,skoda,yeti,77tsi,9,"$2,710",2701,2026-02-12,17 February 2026,1,37
16167,936,900,https://www.grays.com/lot/0001-9066944/motor-vehicles-motor-cycles/2015-bmw-x5-m-f85-automatic-8-speed-wagon,2015,bmw,x5,m f85,3900,"$27,700",23800,2026-02-12,17 February 2026,49,163
16166,937,900,https://www.grays.com/lot/0001-9066943/motor-vehicles-motor-cycles/2006-mercedes-benz-e350-elegance-w211-automatic-sedan,2006,mercedes,benz,e350 elegance w211,109,"$5,900",5791,2026-02-12,17 February 2026,2,76
16165,938,900,https://www.grays.com/lot/0001-9066942/motor-vehicles-motor-cycles/2021-toyota-hilux-4x4-sr-gun126r-turbo-diesel-automatic-crew-cab-chassis,2021,toyota,hilux,4x4 sr gun126r,2200,"$32,201",30001,2026-02-12,17 February 2026,13,131
16164,939,900,https://www.grays.com/lot/0001-9066941/motor-vehicles-motor-cycles/2014-mitsubishi-triton-4x4-glx-mn-turbo-diesel-automatic-dual-cab,2014,mitsubishi,triton,4x4 glx mn dual cab,9,"$3,700",3691,2026-02-12,17 February 2026,0,39
16163,940,900,https://www.grays.com/lot/0001-9066940/motor-vehicles-motor-cycles/2020-ldv-t60-luxe-mega-tub-turbo-diesel-automatic-dual-cab,2020,ldv,t60,luxe mega tub,609,"$14,010",13401,2026-02-12,17 February 2026,13,90
16162,941,900,https://www.grays.com/lot/0001-9066938/motor-vehicles-motor-cycles/2012-toyota-hiace-commuter-kdh223r-turbo-diesel-automatic-14-seats-bus,2012,toyota,hiace,commuter kdh223r,209,"$15,600",15391,2026-02-12,17 February 2026,3,200
16161,942,900,https://www.grays.com/lot/0001-9066937/motor-vehicles-motor-cycles/2013-dodge-journey-sxt-automatic-7-seats-wagon,2013,dodge,journey,sxt,9,"$1,900",1891,2026-02-12,17 February 2026,1,24
16160,943,900,https://www.grays.com/lot/0001-9066935/motor-vehicles-motor-cycles/2009-holden-epica-cdx-ep-turbo-diesel-automatic-sedan,2009,holden,epica,cdx ep,9,$309,300,2026-02-12,17 February 2026,0,5
16159,944,900,https://www.grays.com/lot/0001-9066934/motor-vehicles-motor-cycles/2001-mini-cooper-manual-hatchback,2001,mini,cooper,,9,"$1,440",1431,2026-02-12,17 February 2026,1,17
16158,945,900,https://www.grays.com/lot/0001-9066933/motor-vehicles-motor-cycles/2007-suzuki-grand-vitara-v6-jt-automatic-wagon,2007,suzuki,grand,vitara v6 jt,9,"$4,209",4200,2026-02-12,17 February 2026,0,76
16157,946,900,https://www.grays.com/lot/0001-9066923/motor-vehicles-motor-cycles/2012-volkswagen-golf-103tdi-comfortline-a6-turbo-diesel-automatic-hatchback,2012,volkswagen,golf,103tdi comfortline a6,9,"$3,300",3291,2026-02-12,17 February 2026,1,49
16155,948,900,https://www.grays.com/lot/0001-9066917/motor-vehicles-motor-cycles/2007-volkswagen-golf-2-0-fsi-comfortline-a5-automatic-hatchback,2007,volkswagen,golf,2.0 fsi comfortline a5,2900,"$3,000",100,2026-02-12,15 February 2026,8,9
16154,949,900,https://www.grays.com/lot/0001-9066916/motor-vehicles-motor-cycles/2009-peugeot-207-gti-manual-hatchback,2009,peugeot,207,gti,1209,"$3,309",2100,2026-02-12,15 February 2026,22,45
16153,950,900,https://www.grays.com/lot/0001-9066915/motor-vehicles-motor-cycles/2013-mazda-6-atenza-gj-turbo-diesel-automatic-wagon,2013,mazda,6,atenza gj,1100,"$6,800",5700,2026-02-12,15 February 2026,11,41
16152,951,900,https://www.grays.com/lot/0001-9066914/motor-vehicles-motor-cycles/2006-honda-legend-automatic-sedan,2006,honda,legend,,900,"$2,200",1300,2026-02-12,15 February 2026,10,29
16151,952,900,https://www.grays.com/lot/0001-9066913/motor-vehicles-motor-cycles/2005-hyundai-tucson-city-automatic-wagon,2005,hyundai,tucson,city,109,$909,800,2026-02-12,15 February 2026,3,12
16150,953,900,https://www.grays.com/lot/0001-9066779/motor-vehicles-motor-cycles/2008-toyota-landcruiser-sahara-vdj200r-turbo-diesel-automatic-8-seats-wagon,2008,toyota,landcruiser,sahara vdj200r,13000,"$33,900",20900,2026-02-12,17 February 2026,46,158
16149,954,900,https://www.grays.com/lot/0001-60050151/motor-vehicles-motor-cycles/2009-holden-sportwagon-sv6-ve-automatic-wagon,2009,holden,sportwagon,sv6 ve,209,"$2,799",2590,2026-02-12,17 February 2026,3,34
16146,957,900,https://www.grays.com/lot/0001-60050130/motor-vehicles-motor-cycles/2010-ford-falcon-xr6-fg-automatic-sedan,2010,ford,falcon,xr6 fg,209,"$4,356",4147,2026-02-12,16 February 2026,3,74
16143,960,900,https://www.grays.com/lot/0001-60050115/motor-vehicles-motor-cycles/2005-toyota-kluger-cv-automatic-7-seats-wagon,2005,toyota,kluger,cv,909,"$1,409",500,2026-02-12,15 February 2026,15,20
16142,961,900,https://www.grays.com/lot/0001-50714549/motor-vehicles-motor-cycles/2019-kia-optima-si-jf-automatic-sedan,2019,kia,optima,si jf,1889,"$7,000",5111,2026-02-12,16 February 2026,24,32
16140,963,900,https://www.grays.com/lot/0001-50714544/motor-vehicles-motor-cycles/2020-ford-ranger-4x4-px-iii-turbo-diesel-auto-dual-cab-ute-gvm-upgrade,2020,ford,ranger,4x4 px iii dual cab ute (gvm upgrade),3000,"$13,000",10000,2026-02-12,17 February 2026,1,100
16139,964,900,https://www.grays.com/lot/0001-50714539/motor-vehicles-motor-cycles/2011-bmw-x3-xdrive-20d-f25-turbo-diesel-automatic-8-speed-wagon,2011,bmw,x3,xdrive 20d f25,9,"$1,609",1600,2026-02-12,16 February 2026,1,19
16137,966,900,https://www.grays.com/lot/0001-50714519/motor-vehicles-motor-cycles/2013-suzuki-swift-sport-fz-cvt-hatchback,2013,suzuki,swift,sport fz,2200,"$7,452",5252,2026-02-12,15 February 2026,27,83
16136,967,900,https://www.grays.com/lot/0001-50714514/motor-vehicles-motor-cycles/2007-mitsubishi-outlander-xls-zg-cvt-7-seats-wagon,2007,mitsubishi,outlander,xls zg,9,$609,600,2026-02-12,17 February 2026,1,8
16135,968,900,https://www.grays.com/lot/0001-50714508/motor-vehicles-motor-cycles/2017-nissan-serena-import-automatic-8-seats-people-mover,2017,nissan,serena,(import),6800,"$15,300",8500,2026-02-12,15 February 2026,76,181
16134,969,900,https://www.grays.com/lot/0001-50714504/motor-vehicles-motor-cycles/2011-hyundai-santa-fe-highlander-cm-automatic-7-seats-wagon,2011,hyundai,santa,fe highlander cm,600,"$1,500",900,2026-02-12,15 February 2026,5,17
16132,971,900,https://www.grays.com/lot/0001-50714501/motor-vehicles-motor-cycles/2003-nissan-pulsar-q-n16-automatic-hatchback,2003,nissan,pulsar,q n16,9,"$1,909",1900,2026-02-12,15 February 2026,0,23
16131,972,900,https://www.grays.com/lot/0001-50714500/motor-vehicles-motor-cycles/2016-toyota-camry-altise-asv50r-automatic-sedan,2016,toyota,camry,altise asv50r,3480,"$9,700",6220,2026-02-12,16 February 2026,46,130
16130,973,900,https://www.grays.com/lot/0001-50714499/motor-vehicles-motor-cycles/2010-kia-rio-si-jb-automatic-sedan,2010,kia,rio,si jb,1309,"$1,709",400,2026-02-12,15 February 2026,24,29
16129,974,900,https://www.grays.com/lot/0001-21062990/motor-vehicles-motor-cycles/2005-toyota-rav-4-cruiser-aca23r-automatic-wagon,2005,toyota,rav,4 cruiser aca23r,209,"$3,209",3000,2026-02-12,17 February 2026,3,45
16128,975,900,https://www.grays.com/lot/0001-21062989/motor-vehicles-motor-cycles/2013-mitsubishi-asx-4wd-xb-turbo-diesel-automatic-wagon,2013,mitsubishi,asx,4wd xb,9,"$4,300",4291,2026-02-12,17 February 2026,0,44
16122,981,900,https://www.grays.com/lot/0001-21062972/motor-vehicles-motor-cycles/2006-mazda-3-maxx-bk-automatic-sedan,2006,mazda,3,maxx bk,9,"$3,109",3100,2026-02-12,17 February 2026,0,41
16121,982,900,https://www.grays.com/lot/0001-21062971/motor-vehicles-motor-cycles/2012-holden-cruze-cd-jh-automatic-hatchback,2012,holden,cruze,cd jh,9,"$1,509",1500,2026-02-12,17 February 2026,1,17
16120,983,900,https://www.grays.com/lot/0001-21062953/motor-vehicles-motor-cycles/2016-land-rover-range-rover-tdv6-vogue-turbo-diesel-auto-8-speed-wagon,2016,land,rover,range rover tdv6 vogue,2811,"$29,500",26689,2026-02-12,17 February 2026,49,290
16118,985,900,https://www.grays.com/lot/0001-21062951/motor-vehicles-motor-cycles/2017-holden-trax-ltz-tj-automatic-wagon,2017,holden,trax,ltz tj,109,"$4,355",4246,2026-02-12,17 February 2026,2,41
16117,986,900,https://www.grays.com/lot/0001-21062949/motor-vehicles-motor-cycles/2010-volkswagen-passat-cc-125tdi-3cc-turbo-diesel-automatic-coupe,2010,volkswagen,passat,cc 125tdi 3cc,9,"$2,309",2300,2026-02-12,17 February 2026,0,28
16116,987,900,https://www.grays.com/lot/0001-21062948/motor-vehicles-motor-cycles/2013-holden-cruze-sri-jh-manual-sedan,2013,holden,cruze,sri jh,9,"$1,600",1591,2026-02-12,17 February 2026,1,22
16115,988,900,https://www.grays.com/lot/0001-21062947/motor-vehicles-motor-cycles/2005-subaru-impreza-rs-g2-automatic-hatchback,2005,subaru,impreza,rs g2,9,"$2,309",2300,2026-02-12,17 February 2026,1,29
16114,989,900,https://www.grays.com/lot/0001-21062946/motor-vehicles-motor-cycles/2002-mazda-tribute-limited-3-0-automatic-wagon,2002,mazda,tribute,limited 3.0,9,"$1,309",1300,2026-02-12,17 February 2026,1,20
16113,990,900,https://www.grays.com/lot/0001-21062945/motor-vehicles-motor-cycles/2008-toyota-kluger-4x2-kx-r-gsu40r-automatic-wagon,2008,toyota,kluger,4x2 kx-r gsu40r,709,"$3,450",2741,2026-02-12,17 February 2026,15,50
16112,991,900,https://www.grays.com/lot/0001-21062944/motor-vehicles-motor-cycles/2002-mazda-premacy-automatic-hatchback,2002,mazda,premacy,,9,"$1,309",1300,2026-02-12,17 February 2026,0,14
16111,992,900,https://www.grays.com/lot/0001-21062927/motor-vehicles-motor-cycles/2016-hyundai-tucson-elite-awd-tl-automatic-wagon,2016,hyundai,tucson,elite awd tl,5200,"$13,100",7900,2026-02-12,17 February 2026,4,108
16110,993,900,https://www.grays.com/lot/0001-21062921/motor-vehicles-motor-cycles/2007-mazda-cx-7-luxury-automatic-wagon,2007,mazda,cx-7,luxury,109,"$2,009",1900,2026-02-12,17 February 2026,2,23
16109,994,900,https://www.grays.com/lot/0001-21062918/motor-vehicles-motor-cycles/2014-kia-sorento-sli-xm-turbo-diesel-automatic-7-seats-wagon,2014,kia,sorento,sli xm,9,"$7,009",7000,2026-02-12,16 February 2026,1,124
16108,995,900,https://www.grays.com/lot/0001-21062917/motor-vehicles-motor-cycles/2015-audi-q3-1-4-tfsi-cod-8u-automatic-wagon,2015,audi,q3,1.4 tfsi cod 8u,209,"$8,200",7991,2026-02-12,16 February 2026,3,129
16107,996,900,https://www.grays.com/lot/0001-21062916/motor-vehicles-motor-cycles/2013-nissan-pathfinder-st-l-r52-cvt-7-seats-wagon,2013,nissan,pathfinder,st-l r52,109,"$4,900",4791,2026-02-12,16 February 2026,2,77
16106,997,900,https://www.grays.com/lot/0001-21062915/motor-vehicles-motor-cycles/2017-holden-astra-r-bk-automatic-hatchback,2017,holden,astra,r bk,109,"$5,650",5541,2026-02-12,16 February 2026,2,73
16105,998,900,https://www.grays.com/lot/0001-21062914/motor-vehicles-motor-cycles/2004-holden-astra-cd-ts-automatic-hatchback,2004,holden,astra,cd ts,9,$409,400,2026-02-12,16 February 2026,0,9
16104,999,900,https://www.grays.com/lot/0001-21062913/motor-vehicles-motor-cycles/2005-hyundai-getz-s-tb-manual-hatchback,2005,hyundai,getz,s tb,109,$609,500,2026-02-12,16 February 2026,2,7
16103,1000,1000,https://www.grays.com/lot/0001-21062912/motor-vehicles-motor-cycles/2012-hyundai-i20-active-pb-automatic-hatchback,2012,hyundai,i20,active pb,9,"$2,909",2900,2026-02-12,16 February 2026,0,37
16102,1001,1000,https://www.grays.com/lot/0001-21062910/motor-vehicles-motor-cycles/2010-ford-mondeo-lx-mc-automatic-wagon,2010,ford,mondeo,lx mc,9,"$1,209",1200,2026-02-12,16 February 2026,0,13
16101,1002,1000,https://www.grays.com/lot/0001-21062909/motor-vehicles-motor-cycles/2013-jeep-grand-cherokee-laredo-4x4-wk-turbo-diesel-automatic-8-spd-wagon,2013,jeep,grand,cherokee laredo (4x4) wk 8 spd,9,"$4,552",4543,2026-02-12,16 February 2026,1,60
16100,1003,1000,https://www.grays.com/lot/0001-21062904/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-ke-automatic-wagon,2015,mazda,cx-5,maxx ke,9,"$6,100",6091,2026-02-12,17 February 2026,1,104
16099,1004,1000,https://www.grays.com/lot/0001-21062903/motor-vehicles-motor-cycles/2009-mazda-6-classic-gh-automatic-sedan,2009,mazda,6,classic gh,9,"$2,509",2500,2026-02-12,17 February 2026,0,31
16098,1005,1000,https://www.grays.com/lot/0001-21062902/motor-vehicles-motor-cycles/2007-nissan-skyline-import-v36-automatic-sedan,2007,nissan,skyline,(import) v36,309,"$6,500",6191,2026-02-12,17 February 2026,5,82
16097,1006,1000,https://www.grays.com/lot/0001-21062901/motor-vehicles-motor-cycles/2007-mercedes-benz-c180-k-sports-coupe-cl203-automatic-coupe,2007,mercedes,benz,c180 k sports cl203,309,"$1,609",1300,2026-02-12,17 February 2026,6,21
16096,1007,1000,https://www.grays.com/lot/0001-21062900/motor-vehicles-motor-cycles/2006-mazda-6-classic-gg-manual-hatchback,2006,mazda,6,classic gg,9,"$2,809",2800,2026-02-12,17 February 2026,0,35
16095,1008,1000,https://www.grays.com/lot/0001-21062899/motor-vehicles-motor-cycles/1999-bmw-z3-manual-coupe,1999,bmw,z3,,2000,"$7,301",5301,2026-02-12,17 February 2026,34,94
16094,1009,1000,https://www.grays.com/lot/0001-21062898/motor-vehicles-motor-cycles/2013-bmw-1-series-120i-e88-automatic-convertible,2013,bmw,1,series 120i e88,9,"$3,700",3691,2026-02-12,17 February 2026,1,18
