snapshot_ts,url,price_text,price_numeric,bids_numeric,time_remaining_text,time_remaining_hours,status,location,location_state,auction_site
2026-05-06T01:43:17.762035+00:00,https://www.grays.com/lot/0036-23500015/motor-vehicles-motor-cycles/2017-mercedes-benz-cla-class-cla250-sport-petrol,6500.0,6500.0,71,8h 16m43s,8.279,Active,melbourne,MELBOURNE,lot
2026-05-06T01:43:29.735687+00:00,https://www.grays.com/lot/0037-23500015/motor-vehicles-motor-cycles/2015-citroen-c4-picasso-exclusive-petrol,1809.0,1809.0,29,8h 16m34s,8.276,Active,melbourne,MELBOURNE,lot
2026-05-06T01:43:55.575274+00:00,https://www.grays.com/lot/0038-23500015/motor-vehicles-motor-cycles/2014-hyundai-elantra-active-petrol,1209.0,1209.0,21,8h 16m6s,8.268,Active,melbourne,MELBOURNE,lot
2026-05-06T01:44:08.659287+00:00,https://www.grays.com/lot/0041-23500015/motor-vehicles-motor-cycles/2011-ford-territory-ts-limited-edition-petrol,1009.0,1009.0,17,8h 15m54s,8.265,Active,melbourne,MELBOURNE,lot
2026-05-06T01:44:29.578303+00:00,https://www.grays.com/lot/0043-23500015/motor-vehicles-motor-cycles/2016-holden-colorado-7-ltz-diesel,1209.0,1209.0,21,8h 15m32s,8.259,Active,melbourne,MELBOURNE,lot
2026-05-06T01:44:43.161333+00:00,https://www.grays.com/lot/0044-23500015/motor-vehicles-motor-cycles/2013-volvo-xc60-t6-auto-awd-petrol,609.0,609.0,7,8h 15m19s,8.255,Active,melbourne,MELBOURNE,lot
2026-05-06T01:44:52.821437+00:00,https://www.grays.com/lot/0045-23500015/motor-vehicles-motor-cycles/2010-mercedes-benz-b-class-b180-diesel,1199.0,1199.0,13,8h 15m8s,8.252,Active,melbourne,MELBOURNE,lot
2026-05-06T01:45:01.600054+00:00,https://www.grays.com/lot/0046-23500015/motor-vehicles-motor-cycles/2011-mercedes-benz-b-class-b200-petrol,509.0,509.0,11,8h 15m1s,8.25,Active,melbourne,MELBOURNE,lot
2026-05-06T01:45:16.365059+00:00,https://www.grays.com/lot/0047-23500015/motor-vehicles-motor-cycles/2004-toyota-rav4-cruiser-petrol,1209.0,1209.0,18,8h 14m45s,8.246,Active,melbourne,MELBOURNE,lot
2026-05-06T01:45:26.712986+00:00,https://www.grays.com/lot/0048-23500015/motor-vehicles-motor-cycles/2013-infiniti-fx37-s-premium-petrol,4250.0,4250.0,49,8h 14m35s,8.243,Active,melbourne,MELBOURNE,lot
2026-05-06T01:45:41.052087+00:00,https://www.grays.com/lot/0049-23500015/motor-vehicles-motor-cycles/2013-jeep-wrangler-sport-jk-auto-4x4,5409.0,5409.0,73,8h 14m22s,8.239,Active,melbourne,MELBOURNE,lot
2026-05-06T01:45:50.263355+00:00,https://www.grays.com/lot/0050-23500015/motor-vehicles-motor-cycles/2013-subaru-forester-2-5l-awd-suv,3100.0,3100.0,21,8h 14m12s,8.237,Active,melbourne,MELBOURNE,lot
2026-05-06T01:46:04.916195+00:00,https://www.grays.com/lot/0051-23500015/motor-vehicles-motor-cycles/2010-ford-territory-ts-auto-suv,709.0,709.0,11,8h 13m58s,8.233,Active,melbourne,MELBOURNE,lot
2026-05-06T01:46:15.192053+00:00,https://www.grays.com/lot/0052-23500015/motor-vehicles-motor-cycles/2017-ford-escape-titanium-zg-auto-awd-suv,10100.0,10100.0,113,8h 13m46s,8.229,Active,melbourne,MELBOURNE,lot
2026-05-06T01:46:29.675337+00:00,https://www.grays.com/lot/0053-23500015/motor-vehicles-motor-cycles/2005-mercedes-benz-m-class-ml350-auto-awd-suv,609.0,609.0,8,8h 13m31s,8.225,Active,melbourne,MELBOURNE,lot
2026-05-06T01:46:39.481033+00:00,https://www.grays.com/lot/0054-23500015/motor-vehicles-motor-cycles/2016-mitsubishi-pajero-sport-gls-auto-suv,4500.0,4500.0,24,8h 13m23s,8.223,Active,melbourne,MELBOURNE,lot
2026-05-06T01:46:53.599153+00:00,https://www.grays.com/lot/0055-23500015/motor-vehicles-motor-cycles/2019-toyota-camry-ascent-hybrid-petrol-sedan,14300.0,14300.0,136,8h 13m8s,8.219,Active,melbourne,MELBOURNE,lot
2026-05-06T01:47:03.583336+00:00,https://www.grays.com/lot/0056-23500015/motor-vehicles-motor-cycles/2007-honda-jazz-gli-auto-hatchback,2409.0,2409.0,41,8h 12m58s,8.216,Active,melbourne,MELBOURNE,lot
2026-05-06T01:47:35.339099+00:00,https://www.grays.com/lot/0001-10353555/motor-vehicles-motor-cycles/2020-toyota-corolla-ascent-sport-hybrid-wovr-inspected,209.0,209.0,3,4d 8h 12m26s,104.207,Active,nsw,NSW,lot
2026-05-06T01:48:16.470556+00:00,https://www.grays.com/lot/0001-21066066/motor-vehicles-motor-cycles/2005-mercedes-benz-slk-class-slk55-amg-r171-wovr-inspected,1750.0,1750.0,30,4d 8h 11m46s,104.196,Active,vic,VIC,lot
2026-05-06T01:48:23.721945+00:00,https://www.grays.com/lot/0001-50715660/motor-vehicles-motor-cycles/2010-land-rover-freelander-automatic-wagon-wovr-inspected,109.0,109.0,2,8h 11m38s,8.194,Active,qld,QLD,lot
2026-05-06T01:48:33.389042+00:00,https://www.grays.com/lot/0002-23500020/motor-vehicles-motor-cycles/2009-holden-calais-v-ve-6ltr-auto-wagon-wovr-repairable,1600.0,1600.0,27,1d 8h 11m29s,32.191,Active,melbourne,MELBOURNE,lot
2026-05-06T01:48:42.584130+00:00,https://www.grays.com/lot/0017-23500015/motor-vehicles-motor-cycles/2014-holden-cruze-sri-v-petrol-wovr-inspected,309.0,309.0,7,8h 11m20s,8.189,Active,melbourne,MELBOURNE,lot
2026-05-06T02:00:55.830291+00:00,https://www.grays.com/lot/0001-10353552/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,4600.0,4600.0,11,7h 59m7s,7.985,Active,nsw,NSW,lot
2026-05-06T02:01:07.749627+00:00,https://www.grays.com/lot/0001-21066039/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,1409.0,1409.0,23,7h 58m55s,7.982,Active,vic,VIC,lot
2026-05-06T02:01:19.446297+00:00,https://www.grays.com/lot/0001-50715478/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,4109.0,4109.0,73,7h 58m43s,7.979,Active,qld,QLD,lot
2026-05-06T02:01:28.632442+00:00,https://www.grays.com/lot/0010-23500020/motor-vehicles-motor-cycles/2014-hyundai-i30-active-auto-hatch,709.0,709.0,8,1d 7h 58m32s,31.976,Active,melbourne,MELBOURNE,lot
2026-05-06T02:01:42.544343+00:00,https://www.grays.com/lot/0018-23500015/motor-vehicles-motor-cycles/2015-hyundai-ix35-se-petrol,4100.0,4100.0,13,7h 58m21s,7.973,Active,melbourne,MELBOURNE,lot
2026-05-06T03:00:30.476602+00:00,https://www.grays.com/lot/0001-10353552/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,4600.0,4600.0,11,6h 59m39s,6.994,Active,nsw,NSW,lot
2026-05-06T03:00:41.474674+00:00,https://www.grays.com/lot/0001-21066039/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,1409.0,1409.0,23,6h 59m20s,6.989,Active,vic,VIC,lot
2026-05-06T03:00:50.681632+00:00,https://www.grays.com/lot/0001-50715478/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,4109.0,4109.0,73,6h 59m13s,6.987,Active,qld,QLD,lot
2026-05-06T03:00:58.900313+00:00,https://www.grays.com/lot/0010-23500020/motor-vehicles-motor-cycles/2014-hyundai-i30-active-auto-hatch,709.0,709.0,8,1d 6h 59m3s,30.984,Active,melbourne,MELBOURNE,lot
2026-05-06T03:01:07.478598+00:00,https://www.grays.com/lot/0018-23500015/motor-vehicles-motor-cycles/2015-hyundai-ix35-se-petrol,4100.0,4100.0,13,6h 58m54s,6.982,Active,melbourne,MELBOURNE,lot
2026-05-06T04:00:41.120936+00:00,https://www.grays.com/lot/0001-10353552/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,4600.0,4600.0,11,5h 59m21s,5.989,Active,nsw,NSW,lot
2026-05-06T04:00:50.958494+00:00,https://www.grays.com/lot/0001-21066039/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,1409.0,1409.0,23,5h 59m11s,5.986,Active,vic,VIC,lot
2026-05-06T04:01:12.337748+00:00,https://www.grays.com/lot/0001-50715478/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,4109.0,4109.0,73,5h 58m50s,5.981,Active,qld,QLD,lot
2026-05-06T04:01:20.407325+00:00,https://www.grays.com/lot/0010-23500020/motor-vehicles-motor-cycles/2014-hyundai-i30-active-auto-hatch,709.0,709.0,8,1d 5h 58m42s,29.978,Active,melbourne,MELBOURNE,lot
2026-05-06T04:01:29.585971+00:00,https://www.grays.com/lot/0018-23500015/motor-vehicles-motor-cycles/2015-hyundai-ix35-se-petrol,4100.0,4100.0,13,5h 58m34s,5.976,Active,melbourne,MELBOURNE,lot
2026-05-06T05:00:30.602854+00:00,https://www.grays.com/lot/0001-10353552/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,4600.0,4600.0,11,4h 59m33s,4.992,Active,nsw,NSW,lot
2026-05-06T05:00:40.219115+00:00,https://www.grays.com/lot/0001-21066039/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,1409.0,1409.0,23,4h 59m22s,4.989,Active,vic,VIC,lot
2026-05-06T05:01:07.976974+00:00,https://www.grays.com/lot/0001-50715478/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,4109.0,4109.0,73,4h 58m55s,4.982,Active,qld,QLD,lot
2026-05-06T05:01:16.067720+00:00,https://www.grays.com/lot/0010-23500020/motor-vehicles-motor-cycles/2014-hyundai-i30-active-auto-hatch,709.0,709.0,8,1d 4h 58m47s,28.98,Active,melbourne,MELBOURNE,lot
2026-05-06T05:01:23.715249+00:00,https://www.grays.com/lot/0018-23500015/motor-vehicles-motor-cycles/2015-hyundai-ix35-se-petrol,4100.0,4100.0,13,4h 58m39s,4.978,Active,melbourne,MELBOURNE,lot
2026-05-06T06:00:38.862223+00:00,https://www.grays.com/lot/0001-10353552/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,4600.0,4600.0,11,3h 59m23s,3.99,Active,nsw,NSW,lot
2026-05-06T06:00:52.648637+00:00,https://www.grays.com/lot/0001-21066039/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-automatic-hatchback,1409.0,1409.0,23,3h 59m9s,3.986,Active,vic,VIC,lot
2026-05-06T06:01:12.943863+00:00,https://www.grays.com/lot/0001-50715478/motor-vehicles-motor-cycles/2015-mazda-cx-5-maxx-sport-ke-turbo-diesel-automatic-wagon,4109.0,4109.0,73,3h 58m50s,3.981,Active,qld,QLD,lot
2026-05-06T06:01:26.483584+00:00,https://www.grays.com/lot/0010-23500020/motor-vehicles-motor-cycles/2014-hyundai-i30-active-auto-hatch,709.0,709.0,8,1d 3h 58m36s,27.977,Active,melbourne,MELBOURNE,lot
2026-05-06T06:01:37.192633+00:00,https://www.grays.com/lot/0018-23500015/motor-vehicles-motor-cycles/2015-hyundai-ix35-se-petrol,4100.0,4100.0,13,3h 58m25s,3.974,Active,melbourne,MELBOURNE,lot
