group_id,series,anchor_year,km_anchor,price_low,price_high,price_median,price_per_km_bucket,source,created_at,audit_ts
toyota_corolla_hatch_petrol_auto,E210,2022,120000,,,19200,0.15,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E210,2022,200000,,,16450,0.1,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_hatch_petrol_auto,E210,2022,260000,,,14750,0.05,curve_pipe_import,2026-01-12T06:51:36,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E170,2013,50000,,,15800,0.3,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E170,2013,100000,,,14400,0.15,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E170,2013,120000,,,13700,0.1,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E170,2013,200000,,,11150,0.05,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E170,2013,260000,,,9900,0.05,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E180,2017,50000,,,17500,0.35,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E180,2017,100000,,,14900,0.15,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E180,2017,120000,,,16600,0.15,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E180,2017,200000,,,14950,0.05,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E180,2017,260000,,,13850,0.05,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E210,2022,50000,,,24300,0.5,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E210,2022,100000,,,20600,0.2,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E210,2022,120000,,,19100,0.15,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E210,2022,200000,,,16350,0.1,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
toyota_corolla_sedan_petrol_auto,E210,2022,260000,,,14650,0.05,curve_pipe_import,2026-01-12T23:04:31,2026-01-20T14:37:06
holden_cruze_hatch_petrol_auto_4cyl,JH,2013,50000,,,7800,0.15,curve_pipe_import,2026-01-14T12:09:22+00:00,2026-01-20T14:37:06
holden_cruze_hatch_petrol_auto_4cyl,JH,2013,120000,,,5500,0.05,curve_pipe_import,2026-01-14T12:09:22+00:00,2026-01-20T14:37:06
holden_cruze_hatch_petrol_auto_4cyl,JH,2013,200000,,,3000,0.0,curve_pipe_import,2026-01-14T12:09:22+00:00,2026-01-20T14:37:06
holden_cruze_hatch_petrol_auto_4cyl,JH,2013,260000,,,3900,0.0,curve_pipe_import,2026-01-14T12:09:22+00:00,2026-01-20T14:37:06
mazda_3_hatch_petrol_auto_20_na,BM,2015,50000,,,16500,0.35,curve_pipe_import,2026-01-14T12:54:12,2026-01-20T14:37:06
mazda_3_hatch_petrol_auto_20_na,BM,2015,120000,,,13900,0.1,curve_pipe_import,2026-01-14T12:54:12,2026-01-20T14:37:06
mazda_3_hatch_petrol_auto_20_na,BM,2015,200000,,,11000,0.05,curve_pipe_import,2026-01-14T12:54:12,2026-01-20T14:37:06
mazda_3_hatch_petrol_auto_20_na,BM,2015,260000,,,10700,0.05,curve_pipe_import,2026-01-14T12:54:12,2026-01-20T14:37:06
mazda_3_hatch_petrol_auto_20_na,BN,2017,50000,,,18700,0.35,curve_pipe_import,2026-01-14T12:54:12,2026-01-20T14:37:06
