year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,group_id,reason_code,audit_ts
2012,FORD,Ranger,XL 4X4 PX Dual,Dual Cab,Automatic,Diesel,317292,5.0,MNAUMFF50CW142184,1FJ2DD,03-08-2025,5,3.2,Red,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045279/motor-vehicles-motor-cycles/2012-ford-ranger-xl-4x4-px-turbo-diesel-automatic-dual-cab,Dents or marks on body consistent with age and kilometres.,105,7400,2025-03-17,0,ford_ranger_dualcab_ute_diesel_auto,,2026-01-19T05:05:39
2016,FORD,Ranger,Wildtrak 4x4 PX II Dual,Dual Cab,Automatic,Diesel,291821,5.0,MPBUMFF50GX101692,1MV7RU,14-08-2025,5,3.2,White,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045332/motor-vehicles-motor-cycles/2016-ford-ranger-wildtrak-4x4-px-ii-turbo-diesel-automatic-dual-cab,Dents or marks on body consistent with age and kilometres.,89,15402,2025-03-17,0,ford_ranger_dualcab_ute_diesel_auto,,2026-01-19T05:05:39
2006,HOLDEN,Commodore,Omega VE,Sedan,Automatic,Petrol,119169,5.0,6G1EK52B67L854006,no plates,Unregistered,6,3.6,Red,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045276/motor-vehicles-motor-cycles/2006-holden-commodore-omega-ve-automatic-sedan,"Medium Scratch on Around exterior
Large Dent on LHF guard",12,1109,2025-03-17,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2017,MAZDA,Cx-5,Akera KF,Wagon,Automatic,Petrol,181800,5.0,JM0KF4WLA00111313,1KS5EY,29-06-2025,4,2.5,Red,Black Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045340/motor-vehicles-motor-cycles/2017-mazda-cx-5-akera-kf-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Engine light ON",110,12580,2025-03-17,0,mazda_cx5_suv_petrol_auto_25,,2026-01-19T05:05:39
2013,HOLDEN,Captiva,7 LX AWD CG II,Wagon,Automatic,Diesel,195065,5.0,KL3CD266JCB114030,ZRR810,29-04-2025,4,2.2,Gold,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045453/motor-vehicles-motor-cycles/2013-holden-captiva-7-lx-awd-cg-ii-turbo-diesel-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Front Seat worn Drivers",36,3150,2025-03-19,0,holden_captiva_suv_diesel_auto_4cyl,,2026-01-19T05:05:39
2014,HYUNDAI,I30,TROPHY GD,Hatchback,Automatic,Petrol,110192,5.0,KMHD351EMEU218351,1EE3GB,08-04-2025,4,1.8,Blue,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045384/motor-vehicles-motor-cycles/2014-hyundai-i30-trophy-gd-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Large Scuff on Panel
Large Scratch on Panel
Engine Smoke visible
Engine noise observed.",3,5709,2025-03-19,0,hyundai_i30_hatch_petrol_auto_na_active_elite,,2026-01-19T05:05:39
2011,HYUNDAI,I30,SX FD,Hatchback,Automatic,Petrol,174534,5.0,KMHDB51EMCU369671,No Plates,Unregistered,4,2,Black,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045242/motor-vehicles-motor-cycles/2011-hyundai-i30-sx-fd-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Front Bumper
Medium Scratch on Drivers Door",42,3009,2025-03-19,0,hyundai_i30_hatch_petrol_auto_na_active_elite,,2026-01-19T05:05:39
2013,VOLKSWAGEN,Golf,90TSI A7,Hatchback,Automatic,Petrol,188379,5.0,WVWZZZAUZEP003866,1NE1AY,15-04-2025,4,1.4,Black,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045402/motor-vehicles-motor-cycles/2013-volkswagen-golf-90tsi-a7-automatic-hatchback,Dents or marks on body consistent with age and kilometres.,54,4900,2025-03-19,0,volkswagen_golf_hatch_petrol_auto_base,,2026-01-19T05:05:39
2015,VOLKSWAGEN,Golf,92TSI TRENDLINE A7,Hatchback,Automatic,Petrol,228447,5.0,WVWZZZAUZGW033024,1FA3VF,28-10-2025,4,1.4,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045448/motor-vehicles-motor-cycles/2015-volkswagen-golf-92tsi-trendline-a7-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Windscreen cracked.
Comment: Scratches and dents on front bumper and LHF guard.",52,4600,2025-03-19,0,volkswagen_golf_hatch_petrol_auto_base,,2026-01-19T05:05:39
2009,HOLDEN,Commodore,Omega VE,Sedan,Automatic,Petrol,199276,5.0,6G1EK55779L336240,1ZX1CE,03-04-2025,6,3.6,Grey,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045474/motor-vehicles-motor-cycles/2009-holden-commodore-omega-ve-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Seat Torn Drivers and Front Passenger",31,2209,2025-03-19,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
