year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,canonical_tag,canonical_reason,price_numeric,price_text,bids_numeric
2009,TOYOTA,Landcruiser,Workmate (4x4) VDJ79R T,Cab Chassis,Manual,Diesel,158421,2.0,JTELV71J700014097,No plates,Unregistered,8,4.5,Blue,Grey,Yes,Yes,No,No,Yes,WA,https://www.grays.com/lot/0001-9057574/motor-vehicles-motor-cycles/2009-toyota-landcruiser-workmate-4x4-vdj79r-t-diesel-manual-cab-chassis,Engine Oil Leak,73,18300,2025-03-11,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2010,TOYOTA,Yaris,YRS NCP93R,Sedan,Automatic,Petrol,158570,5.0,JTDBT923401396651,XZK224,31-07-2025,4,1.5,Black,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045162/motor-vehicles-motor-cycles/2010-toyota-yaris-yrs-ncp93r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Around the car
Paint fading On the hood roof and back of the car
Medium Dent on Rear passenger door",46,5300,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2003,TOYOTA,Corolla,Ascent Seca ZZE123R,Hatchback,Automatic,Petrol,213571,5.0,JTDKR23E700142900,no plates,Unregistered,4,1.8,White,Grey,Yes,No,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9057592/motor-vehicles-motor-cycles/2003-toyota-corolla-ascent-seca-zze123r-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Flat Battery. Jump start or towing required
Engine noise observed.
Windscreen Chipped or Cracked.",7,1200,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2008,TOYOTA,Kluger,KX-R (4x4) GSU45R,Wagon,Automatic,Petrol,286288,7.0,JTEES41A802087936,no plates,Unregistered,6,3.5,Silver,Black,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9057697/motor-vehicles-motor-cycles/2008-toyota-kluger-kx-r-4x4-gsu45r-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Dent on front left fender",31,2700,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2001,TOYOTA,Rav,4 Cruiser (4x4),Wagon,Automatic,Petrol,257422,5.0,JTEHH20V300126495,RJF412,15-01-2025,4,2.0,Gold,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045046/motor-vehicles-motor-cycles/2001-toyota-rav-4-cruiser-4x4-automatic-wagon,"Medium Scratch on rear bumper, doors, front fenders
Dents or marks on body consistent with age and kilometres.",31,2300,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2006,TOYOTA,Hiace,LWB TRH201R,Van,Automatic,Petrol,334763,3.0,JTFHX02P400013186,No plates,Unregistered,4,2.7,White,Multi,Yes,No,Yes,Yes,Yes,SA,https://www.grays.com/lot/0001-60047421/motor-vehicles-motor-cycles/2006-toyota-hiace-lwb-trh201r-automatic-van,Please refer to the photos or arrange inspection to view the condition of this vehicle.,67,6900,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2007,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Manual,Petrol,265702,5.0,JTNBU52E20J001658,1IKT188,10-03-2025,4,1.8,Light Blue,Charcoal,Yes,No,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9057659/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-manual-sedan,"Paint fading various panels
Paint cracked various panels",11,1400,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2010,TOYOTA,Corolla,Ascent ZRE152R,Hatchback,Automatic,Petrol,459244,5.0,JTNKU58E601117274,No plates,Unregistered,4,1.8,Silver,Grey,Yes,No,No,No,Yes,QLD,https://www.grays.com/lot/0001-50514175/motor-vehicles-motor-cycles/2010-toyota-corolla-ascent-zre152r-automatic-hatchback,"Door card Worn.
Carpet worn in places.
Marks in boot
Paint cracked Rear bumper
Dents or marks on body consistent with age and kilometres.
Paint fading Multiple panels
Paint peeling Front bumper
Medium Dent on Bonnet
Large Scuff on Rh front bumper
Medium Scratch on Rh front guard
Large Scratch on Rh front door",33,2009,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2014,TOYOTA,Hilux,Workmate TGN16R Dual,Dual Cab,Manual,Petrol,264045,5.0,MR0EX12G302089554,1CZ3NL,29-09-2025,4,2.7,White,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045113/motor-vehicles-motor-cycles/2014-toyota-hilux-workmate-tgn16r-manual-dual-cab,"Dents or marks on body consistent with age and kilometres.
Seat Torn Drivers
Medium Dent on Rear Drivers side below tail light
Medium Dent on Rear drivers side door and tub
Damaged Tail Light
Medium Dent on Front Passenger Guard",61,4700,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2004,TOYOTA,Camry,Sportivo ACV36R,Sedan,Automatic,Petrol,412790,5.0,6T153BK360X046794,No plates,Unregistered,4,2.4,Gold,Multi,Yes,No,Yes,Yes,Yes,SA,https://www.grays.com/lot/0001-60047423/motor-vehicles-motor-cycles/2004-toyota-camry-sportivo-acv36r-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,18,1009,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
