url,year,make,model,variant,body_type,fuel_type,transmission,badge_raw,drivetrain_raw,strict_group,strict_reason
https://www.grays.com/lot/0001-21048607/motor-vehicles-motor-cycles/2014-toyota-camry-hybrid-h-avv50r-cvt-sedan,2014,TOYOTA,Camry,Hybrid H AVV50R,Sedan,Hybrid,CVT,h,,,NO_MATCH
https://www.grays.com/lot/0001-21048481/motor-vehicles-motor-cycles/2012-toyota-alphard-automatic-7-seats-van,2012,TOYOTA,Alphard,(Import),Van,Petrol,Automatic,import,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21048283/motor-vehicles-motor-cycles/1999-toyota-aristo-import-automatic-sedan,1999,TOYOTA,Aristo,Import,Sedan,Petrol,Automatic,import,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-9059397/motor-vehicles-motor-cycles/2021-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,2021,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Diesel,Automatic,sr 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-21048647/motor-vehicles-motor-cycles/1998-toyota-landcruiser-prado-rv6-manual-8-seats-wagon,1998,TOYOTA,Landcruiser,Prado RV6,Wagon,Petrol,Manual,prado rv6,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21048592/motor-vehicles-motor-cycles/2004-toyota-corolla-conquest-seca-zze123r-automatic-hatchback,2004,TOYOTA,Corolla,Conquest Seca ZZE123R,Hatchback,Petrol,Automatic,conquest seca,,,NO_MATCH
https://www.grays.com/lot/0001-21048639/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-sport-seca-zze123r-automatic-hatchback,2007,TOYOTA,Corolla,Ascent Sport Seca ZZE123R,Hatchback,Petrol,Automatic,ascent sport,,,NO_MATCH
https://www.grays.com/lot/0001-21048655/motor-vehicles-motor-cycles/2008-toyota-kluger-kx-s-fwd-gsu40r-automatic-7-seats-wagon,2008,TOYOTA,Kluger,KX-S (FWD) GSU40R,Wagon,Petrol,Automatic,kx s,fwd,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-50515202/motor-vehicles-motor-cycles/2010-toyota-corolla-ascent-zre152r-automatic-sedan,2010,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-50515167/motor-vehicles-motor-cycles/2011-toyota-corolla-ascent-zre152r-automatic-sedan,2011,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-50515201/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,2013,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-50515170/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,2013,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-50515169/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,2012,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-50515166/motor-vehicles-motor-cycles/2017-toyota-c-hr-fwd-ngx10r-cvt-wagon,2017,TOYOTA,C-hr,FWD NGX10R,Wagon,Petrol,CVT,fwd,fwd,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-50515158/motor-vehicles-motor-cycles/2020-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,2020,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Diesel,Automatic,sr 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-10348671/motor-vehicles-motor-cycles/2012-toyota-hilux-sr-4x4-kun26r-turbo-diesel-automatic-cab-chassis,2012,TOYOTA,Hilux,SR (4x4) KUN26R,Cab Chassis,Diesel,Automatic,sr 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-9059575/motor-vehicles-motor-cycles/2006-toyota-yaris-yrs-ncp91r-automatic-hatchback,2006,TOYOTA,Yaris,YRS NCP91R,Hatchback,Petrol,Automatic,yrs,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-9059597/motor-vehicles-motor-cycles/2005-toyota-yaris-yr-ncp90r-automatic-hatchback,2005,TOYOTA,Yaris,YR NCP90R,Hatchback,Petrol,Automatic,yr,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-50515224/motor-vehicles-motor-cycles/2012-toyota-landcruiser-prado-gxl-kdj150r-turbo-diesel-auto-7-seats-wagon,2012,TOYOTA,Landcruiser,Prado GXL KDJ150R,Wagon,Diesel,Automatic,prado gxl,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21048733/motor-vehicles-motor-cycles/2004-toyota-landcruiser-gxl-4x4-hdj100r-turbo-diesel-at-8-seats-wagon,2004,TOYOTA,Landcruiser,GXL (4x4) HDJ100R AT,Wagon,Diesel,Automatic,gxl 4x4,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21048698/motor-vehicles-motor-cycles/2014-toyota-hiace-lwb-kdh201r-turbo-diesel-automatic-van,2014,TOYOTA,Hiace,LWB KDH201R,Van,Diesel,Automatic,lwb,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21048732/motor-vehicles-motor-cycles/2008-toyota-rav-4-cv-4x4-manual-wagon,2008,TOYOTA,Rav,4 CV (4x4),Wagon,Petrol,Manual,cv 4x4,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21048755/motor-vehicles-motor-cycles/2014-toyota-hilux-sr-kun16r-turbo-diesel-manual-cab-chassis,2014,TOYOTA,Hilux,SR KUN16R,Cab Chassis,Diesel,Manual,sr,,,NO_MATCH
https://www.grays.com/lot/0001-21048729/motor-vehicles-motor-cycles/2007-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-ute,2007,TOYOTA,Hilux,SR (4x4) KUN26R,Ute,Diesel,Manual,sr 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-9059604/motor-vehicles-motor-cycles/2012-toyota-camry-altise-asv50r-automatic-sedan,2012,TOYOTA,Camry,Altise ASV50R,Sedan,Petrol,Automatic,altise,,,NO_MATCH
https://www.grays.com/lot/0001-21048694/motor-vehicles-motor-cycles/2014-toyota-camry-altise-asv50r-automatic-sedan,2014,TOYOTA,Camry,Altise ASV50R,Sedan,Petrol,Automatic,altise,,,NO_MATCH
https://www.grays.com/lot/0001-9059607/motor-vehicles-motor-cycles/2003-toyota-caldina-gt-four-import-automatic-wagon,2003,TOYOTA,Caldina,GT-Four Import,Wagon,Petrol,Automatic,gt four,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-10348768/motor-vehicles-motor-cycles/1999-toyota-landcruiser-prado-rv6-4x4-vzj95r-automatic-8-seats-wagon,1999,TOYOTA,Landcruiser,Prado RV6 (4x4) VZJ95R,Wagon,Petrol,Automatic,prado rv6,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21048908/motor-vehicles-motor-cycles/2008-toyota-kluger-kx-s-fwd-gsu40r-automatic-7-seats-wagon,2008,TOYOTA,Kluger,KX-S (FWD) GSU40R,Wagon,Petrol,Automatic,kx s,fwd,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21048906/motor-vehicles-motor-cycles/2012-toyota-kluger-4x4-kx-r-gsu45r-automatic-wagon,2012,TOYOTA,Kluger,4X4 KX-R GSU45R,Wagon,Petrol,Automatic,4x4 kx,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049014/motor-vehicles-motor-cycles/2017-toyota-rav-4-awd-gx-asa44r-automatic-wagon,2017,TOYOTA,Rav,4 AWD GX ASA44R,Wagon,Petrol,Automatic,awd gx,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-9059728/motor-vehicles-motor-cycles/2010-toyota-rav-4-cv-2wd-aca38r-automatic-wagon,2010,TOYOTA,Rav,4 CV (2WD) ACA38R,Wagon,Petrol,Automatic,cv,fwd,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049025/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-sedan,2007,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-10348700/motor-vehicles-motor-cycles/2008-toyota-corolla-ascent-zre152r-automatic-sedan,2008,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-21048902/motor-vehicles-motor-cycles/2013-toyota-corolla-levin-zr-zre182r-cvt-hatchback,2013,TOYOTA,Corolla,LEVIN ZR ZRE182R,Hatchback,Petrol,CVT,levin zr,,,NO_MATCH
https://www.grays.com/lot/0001-21049027/motor-vehicles-motor-cycles/2007-toyota-corolla-ascent-zre152r-automatic-hatchback,2007,TOYOTA,Corolla,Ascent ZRE152R,Hatchback,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-9059389/motor-vehicles-motor-cycles/2012-toyota-hilux-4x2-manual,2012,TOYOTA,Hilux,4x2,,Diesel,Manual,4x2,fwd,,NO_MATCH
https://www.grays.com/lot/0001-10348728/motor-vehicles-motor-cycles/2007-toyota-hilux-sr-ggn15r-automatic-ute,2007,TOYOTA,Hilux,SR GGN15R,Ute,Petrol,Automatic,sr,,,NO_MATCH
https://www.grays.com/lot/0001-9059707/motor-vehicles-motor-cycles/2021-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,2021,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Diesel,Automatic,sr 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-21048897/motor-vehicles-motor-cycles/2006-toyota-camry-altise-acv36r-automatic-sedan,2006,TOYOTA,Camry,Altise ACV36R,Sedan,Petrol,Automatic,altise,,,NO_MATCH
https://www.grays.com/lot/0001-9059726/motor-vehicles-motor-cycles/2003-toyota-camry-altise-mcv36r-automatic-sedan,2003,TOYOTA,Camry,Altise MCV36R,Sedan,Petrol,Automatic,altise,,,NO_MATCH
https://www.grays.com/lot/0001-21048985/motor-vehicles-motor-cycles/2015-toyota-camry-altise-hybrid-avv50r-cvt-sedan,2015,TOYOTA,Camry,ALTISE HYBRID AVV50R,Sedan,Hybrid,CVT,altise,,,NO_MATCH
https://www.grays.com/lot/0001-21048765/motor-vehicles-motor-cycles/2003-toyota-townace-sbv-kr42r-manual-van,2003,TOYOTA,Townace,SBV KR42R,Van,Petrol,Manual,sbv,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-10348754/motor-vehicles-motor-cycles/2008-toyota-kluger-kx-r-fwd-gsu40r-automatic-7-seats-wagon,2008,TOYOTA,Kluger,KX-R (FWD) GSU40R,Wagon,Petrol,Automatic,kx r,fwd,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049130/motor-vehicles-motor-cycles/2005-toyota-echo-ncp10r-automatic-hatchback,2005,TOYOTA,Echo,NCP10R,Hatchback,Petrol,Automatic,,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049099/motor-vehicles-motor-cycles/2005-toyota-landcruiser-prado-vx-4x4-grj120r-automatic-8-seats-wagon,2005,TOYOTA,Landcruiser,Prado VX (4x4) GRJ120R,Wagon,Petrol,Automatic,prado vx,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049153/motor-vehicles-motor-cycles/2009-toyota-kluger-kx-r-fwd-gsu40r-automatic-wagon,2009,TOYOTA,Kluger,KX-R (FWD) GSU40R,Wagon,Petrol,Automatic,kx r,fwd,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049143/motor-vehicles-motor-cycles/2007-toyota-hiace-lwb-kdh201r-turbo-diesel-automatic-van,2007,TOYOTA,Hiace,LWB KDH201R,Van,Diesel,Automatic,lwb,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-9059740/motor-vehicles-motor-cycles/2010-toyota-rav-4-cv-4x4-manual-wagon,2010,TOYOTA,Rav,4 CV (4x4),Wagon,Petrol,Manual,cv 4x4,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-50515259/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,2013,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-21049064/motor-vehicles-motor-cycles/2008-toyota-corolla-conquest-zre152r-automatic-sedan,2008,TOYOTA,Corolla,Conquest ZRE152R,Sedan,Petrol,Automatic,conquest,,,NO_MATCH
https://www.grays.com/lot/0001-50515261/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,2012,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-50515258/motor-vehicles-motor-cycles/2011-toyota-corolla-ascent-zre152r-automatic-hatchback,2011,TOYOTA,Corolla,Ascent ZRE152R,Hatchback,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-9059673/motor-vehicles-motor-cycles/1996-toyota-supra-jza80-import-automatic-coupe,1996,TOYOTA,Supra,JZA80 Import,Coupe,Petrol,Automatic,import,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-9059754/motor-vehicles-motor-cycles/2018-toyota-hilux-automatic-ute,2018,TOYOTA,Hilux,,Ute,Diesel,Automatic,nan,,,NO_MATCH
https://www.grays.com/lot/0001-50515262/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,2013,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-9059760/motor-vehicles-motor-cycles/2019-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,2019,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Diesel,Automatic,sr 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-50515257/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,2013,TOYOTA,Corolla,Ascent ZRE152R,Sedan,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-9059758/motor-vehicles-motor-cycles/2005-toyota-hilux-sr5-4x4-ggn25r-automatic-dual-cab,2005,TOYOTA,Hilux,SR5 (4x4) GGN25R Dual,Cab Chassis,Petrol,Automatic,sr5 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-21049200/motor-vehicles-motor-cycles/2002-toyota-corolla-ascent-seca-zze123r-automatic-hatchback,2002,TOYOTA,Corolla,Ascent Seca ZZE123R,Hatchback,Petrol,Automatic,ascent seca,,,NO_MATCH
https://www.grays.com/lot/0001-9059801/motor-vehicles-motor-cycles/2007-toyota-landcruiser-prado-gx-kdj120r-turbo-diesel-manual-wagon,2007,TOYOTA,Landcruiser,Prado GX KDJ120R,Wagon,Diesel,Manual,prado gx,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049207/motor-vehicles-motor-cycles/2010-toyota-kluger-grande-4x4-gsu45r-automatic-7-seats-wagon,2010,TOYOTA,Kluger,Grande (4x4) GSU45R,Wagon,Petrol,Automatic,grande 4x4,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049180/motor-vehicles-motor-cycles/2003-toyota-landcruiser-sahara-4x4-uzj100r-automatic-8-seats-wagon,2003,TOYOTA,Landcruiser,Sahara (4x4) UZJ100R,Wagon,Petrol,Automatic,sahara 4x4,4x4,,OUT_OF_SCOPE_MODEL
